Commitment position key;Year;Name of beneficiary;Coordinator;VAT Number of beneficiary;Address;City;Postal code;Country / Territory;Amount;NUTS2;Geographical Zone;Expense Type;Total amount;Subject of grant or contract;Responsible Department;Budget line name and number;Action Type;Funding Type
AID.CTR.318211.01.1;2013;NTU INTERNATIONAL APS*;yes;DK31079543;VED STRANDEN 22;AALBORG;9000;Denmark;0,00€;;Zambia;Operational;658.750,00€;Technical Audit of the Rehabilitation of the Great East Road (T4);Directorate-General for Development and Cooperation — EuropeAid;A Envelope - programmable aid (02.10.10.01);European Development Fund (10th EDF);Public procurement (including provisional commitments)
AID.CTR.318150.01.1;2013;FUNDACION ACCION CONTRA EL HAMBRE*ACTION CONTRE LA FAIM-ESPAGNE FACH;yes;ESG81164105;CALLE DUQUE DE SEVILLA 3;MADRID;28002;Spain;0,00€;;Mauritania;Operational;644.400,00€;Projet de transfert économique et social à vocation de lutte contre la malnutrition et l’extrême pauvreté des ménages en Mauritanie suite à la crise alimentaire et nutritionnelle de 2012.;Directorate-General for Development and Cooperation — EuropeAid;B Envelope - Non-programmable aid - Devco (02.10.21.10);European Development Fund (10th EDF);Grants
AID.CTR.331830.01.1;2013;AUTORITE POUR LA PROTECTION CONTRELES INONDATIONS DE LA PLAINE D'ANTANANARIVO*A.P.I.P.A.;yes;;LOT IVW 18 E ANOSIZATO EST;ANTANANARIVO;101;Madagascar;0,00€;;Madagascar;Operational;602.462,25€;Curage des collecteurs des eaux pluviales et eaux usées dans les zones basses de la Commune urbaine d'Antananarivo - UE/Curage Tana 2013-2014 - APIPA;Directorate-General for Development and Cooperation — EuropeAid;A Envelope - programmable aid (02.10.10.01);;Grants
AID.CTR.323202.01.1;2013;BURKINA FASO*;yes;;-;-;;Burkina Faso;0,00€;;Burkina Faso;Operational;600.000,00€;Appui au plan d'action triennal de la Cour des comptes (BF);Directorate-General for Development and Cooperation — EuropeAid;A Envelope - programmable aid (02.10.10.01);;Grants
AID.CTR.328201.01.1;2013;THE WORLD BANK GROUP*;yes;;H STREET 1818;WASHINGTON DC;20433;United States;0,00€;;Zimbabwe;Operational;600.000,00€;Contribution to the Analytical Multi Donor Trust Fund (A-MDTF) managed by the World Bank.;Directorate-General for Development and Cooperation — EuropeAid;B Envelope - Non-programmable aid - Devco (02.10.21.10);;Grants
AID.CTR.317788.01.1;2013;GROUPE DE RECHERCHE ET D'ECHANGES TECHNOLOGIQUES*GRET;yes;FR04309123057;AVENUE DE LA BELLE GABRIELLE 45BIS;NOGENT SUR MARNE;94130;France;0,00€;;Mauritania;Operational;599.670,00€;NutriRIM 2;Directorate-General for Development and Cooperation — EuropeAid;B Envelope - Non-programmable aid - Devco (02.10.21.10);European Development Fund (10th EDF);Grants
AID.CTR.332005.01.1;2013;INTERNATIONAL PEACEBUILDING ALLIANCE (INTERPEACE) ASSOCIATION*;yes;;CHEMIN DE BALEXERT 7-9;CHATELAINE GENEVE;1219;Switzerland;0,00€;;Somalia;Operational;599.239,00€;SUPPORTING THE POLICY UNIT;Directorate-General for Development and Cooperation — EuropeAid;A Envelope - programmable aid (02.10.10.01);;Grants
AID.CTR.308924.01.1;2013;ASSOCIATION OF EUROPEAN PARLIAMENTARIANS WITH AFRICA VERENIGING*AWEPA;yes;;PRINS HENDRIKKADE 48-G;AMSTERDAM;1012 AC;Netherlands;0,00€;;Somalia;Operational;568.148,00€;Bridging facility for support for inauguration and capacity building of New Federal Houses of Parliament;Directorate-General for Development and Cooperation — EuropeAid;A Envelope - programmable aid (02.10.10.01);European Development Fund (10th EDF);Grants
AID.CTR.318752.01.1;2013;MIAMBANZILA SARL*;yes;CG972008004643;AVENUE GENERAL DE GAULLE OCH;POINTE NOIRE;;Congo;0,00€;;Congo (Brazzaville);Operational;556.192,12€;Travaux de réhabilitation partielle ou générale des infrastructures des maisons d'arrêt de Brazzaville, de Dolisie et de Pointe-Noire, ainsi que du cachot du commissariat central de police de Pointe-Noire;Directorate-General for Development and Cooperation — EuropeAid;A Envelope - programmable aid (02.10.10.01);;Public procurement (including provisional commitments)
AID.CTR.321969.01.1;2013;RESEAU EUROPEEN DES ORGANISATIONS NON GOUVERNEMENTALES SUR LES QUESTIONS AGRO-ALIMENTAIRES ET LE DEVELOPPEMENT ASSOCIATION*RONGEAD;yes;FR42329477582;RUE IMBERT COLOMES 29;LYON;69001;France;0,00€;;West Africa Region;Operational;547.890,68€;GOURMANTOUR;Directorate-General for Development and Cooperation — EuropeAid;Regional indicative programme (02.40.10);;Grants
AID.CTR.315014.01.1;2013;CRUZ ROJA ESPANOLA FUNDACION*CROIXROUGE ESPAGNE FONDATION CRE;yes;ESQ2866001G;AVENIDA REINA VICTORIA 26;MADRID;28003;Spain;0,00€;;Caribbean Region;Operational;500.000,00€;ECHO/-CR/EDF/2013/01001 Early recovery support for vulnerable communities affected by hurricane Sandy in the Dominican Republic;Directorate-General for Development and Cooperation — EuropeAid;B Envelope - Non-programmable aid - Echo (02.10.21.20);European Development Fund (10th EDF);Grants
AID.CTR.315016.01.1;2013;FUNDACION OXFAM INTERMON*OI;yes;ESG58236803;CALLE ROGER DE LLURIA 15;BARCELONA;08010;Spain;0,00€;;Caribbean Region;Operational;500.000,00€;ECHO/-CR/EDF/2013/01002 Emergency Response & Early Recovery for the most vulnerable people affected by Hurricane Sandy in the Dominican Republic”.;Directorate-General for Development and Cooperation — EuropeAid;B Envelope - Non-programmable aid - Echo (02.10.21.20);European Development Fund (10th EDF);Grants
AID.CTR.315202.01.1;2013;SOUTHERN AFRICAN DEVELOPMENT COMMUNITY COUNCIL OF NON GOVERNMENTAL ORGANISATIONS*SADC COUNCIL OF NON GOVERNMENTAL ORGANISATION SADC CNGO;yes;;KHURUTSHE ROAD PHASE 2 PLOT 18682;GABORONE;;Botswana;0,00€;;Southern Africa Region (EDF 10);Operational;500.000,00€;Enhancing civil society;Directorate-General for Development and Cooperation — EuropeAid;Regional indicative programme (02.40.10);European Development Fund (10th EDF);Grants
AID.CTR.316492.01.1;2013;CROIX ROUGE FRANCAISE ASSOCIATION*;yes;FR20775672272;RUE DIDOT 98;PARIS;75014;France;0,00€;;Caribbean Region;Operational;500.000,00€;ECHO/-CR/EDF/2013/01003 Emergency and Early Recovery Response to the Passage of Hurricane Sandy in Jamaica;Directorate-General for Development and Cooperation — EuropeAid;B Envelope - Non-programmable aid - Echo (02.10.21.20);European Development Fund (10th EDF);Grants
AID.CTR.317446.01.1;2013;THE CULTURE FUND OF ZIMBABWE TRUST*CFOZT;yes;;HARVEY BROWN 51 MILTON PARK;HARARE;;Zimbabwe;0,00€;;Zimbabwe;Operational;500.000,00€;Culture Fund- EU Partnership for Arts and Culture Development;Directorate-General for Development and Cooperation — EuropeAid;B Envelope - Non-programmable aid - Devco (02.10.21.10);European Development Fund (10th EDF);Grants
AID.CTR.331421.02.1;2013;THE FOOD AND AGRICULTURE ORGANIZATION OF THE UNITED NATIONS*FAO ORGANISATION DES NATIONS UNIES POUR L'ALIENTATION ET L'AGRICULTURE;yes;;VIALE DELLE TERME DI CARACALLA;ROMA;00153;Italy;0,00€;;Zimbabwe;Operational;500.000,00€;Support to the roll out and implementation of the Food and Nutrition Policy through the strengthening of the Food and Nutrition Council (FNC);Directorate-General for Development and Cooperation — EuropeAid;B Envelope - Non-programmable aid - Devco (02.10.21.10);;Grants
AID.CTR.317447.01.1;2013;THE BRITISH COUNCIL ROYAL CHARTER*;yes;GB238767421;SPRING GARDENS 10;LONDON;SW1A 2BN;United Kingdom;0,00€;;Zimbabwe;Operational;495.000,00€;Creative Zimbabwe;Directorate-General for Development and Cooperation — EuropeAid;B Envelope - Non-programmable aid - Devco (02.10.21.10);;Grants
AID.CTR.315645.01.1;2013;ACE INTERNATIONAL CONSULTANTS SL*;yes;ESB79217279;CALLE SAGUNTO 17;MADRID;28010;Spain;0,00€;;Sao Tome and Principe;Operational;479.420,00€;AT renforcement des filières d'exportation en RDSTP;Directorate-General for Development and Cooperation — EuropeAid;A Envelope - programmable aid (02.10.10.01);European Development Fund (10th EDF);External experts
AID.CTR.335357.01.1;2013;RESEAU OTIV DE LA SAVA SOCIETE COOPERATIVE*;yes;;PLACE DU MARCHE SAMBAVA CENTRE;SAMBAVA;208;Madagascar;0,00€;;Madagascar;Operational;478.060,10€;Paiement des maitres FRAM dans la région de SAVA;Directorate-General for Development and Cooperation — EuropeAid;A Envelope - programmable aid (02.10.10.01);;Grants
AID.CTR.317690.01.1;2013;MOTT MACDONALD LIMITED*;yes;GB523765636;SYDENHAM ROAD 8-10;CROYDON;CR0 2EE;United Kingdom;0,00€;;Kenya;Operational;470.000,00€;STUDY ON URBAN MOBILITY IN NAIROBI, KENYA;Directorate-General for Development and Cooperation — EuropeAid;A Envelope - programmable aid (02.10.10.01);European Development Fund (10th EDF);Public procurement (including provisional commitments)
AID.CTR.335374.01.1;2013;UNION DES OTIV DE LA PROVINCE DE TOAMASINA ZONE LITTORAL SOCIETE COOPERATIVE*RESEAU OTIV TOAMASINA ZONE LITORAL OTIV ZL;yes;MG3000072838;RUE DE LA LIBERATION 25 VILLA;TOAMASINA;501;Madagascar;0,00€;;Madagascar;Operational;462.226,05€;Paiement des maitres FRAM dans la région de Analanjirofo;Directorate-General for Development and Cooperation — EuropeAid;A Envelope - programmable aid (02.10.10.01);;Grants
AID.CTR.317509.01.1;2013;ASSOCIATION POUR LA PROMOTION DE L'INTERCOMMUNALITE DANS LE DEPARTEMENT DE L'ALIBORI*APIDA;yes;;BANIGOUROU;KANDI;229;Benin;0,00€;;West Africa Region;Operational;420.000,00€;Programme intercommunal pour la conservation et la gestion des espaces naturels comme levier de développement local durable;Directorate-General for Development and Cooperation — EuropeAid;Regional indicative programme (02.40.10);European Development Fund (10th EDF);Grants
AID.CTR.324083.01.1;2013;PRICEWATERHOUSECOOPERS BEDRIJFSREVISOREN CVBA PWC BEDRIJFSREVISOREN*PRICEWATERHOUSECOOPERS REVISEURS D'ENTREPRISES SCRL PWC REVISEURS D'ENTR;yes;BE0429501944;WOLUWEGARDEN WOLUWEDAL 18;SINT STEVENS WOLUWE;1932;Belgium;0,00€;;ACP Countries;Operational;406.825,00€;Data quality and accounting assistance;Directorate-General for Development and Cooperation — EuropeAid;Use of interest (05.10.20);;Public procurement (including provisional commitments)
AID.CTR.308627.02.1;2013;BUSINESS AND STRATEGIES IN EUROPE SA*;yes;BE0442745018;RUE DE LA LOI 81A;BRUXELLES;1040;Belgium;0,00€;;ACP Countries;Operational;403.655,00€;Study on EU Aid Results;Directorate-General for Development and Cooperation — EuropeAid;Use of interest (05.10.20);European Development Fund (10th EDF);Public procurement (including provisional commitments)
AID.CTR.321643.01.1;2013;ADRA DEUTSCHLAND EV*;yes;;ROBERT BOSCH STRASSE 10;WEITERSTADT;64331;Germany;0,00€;;Somalia;Operational;400.000,00€;Elmidoon - 'Seeking Knowledge (Expanded Action);Directorate-General for Development and Cooperation — EuropeAid;A Envelope - programmable aid (02.10.10.01);;Grants
AID.CTR.322726.01.1;2013;"NATURAL PERSON ; PERSONNE PRIVÉE ; PRIVATPERSON - Art. 21(2) RAP";yes;*****;*****;*****;*****;Belgium;0,00€;Prov. Brabant Wallon;Congo (Democratic Republic of the);Operational;398.300,00€;Renforcement de la cellule environnement du ministère de l'Environnement, Conservation de la Nature et Tourisme, MECN&T;Directorate-General for Development and Cooperation — EuropeAid;A Envelope - programmable aid (02.10.10.01);;Public procurement (including provisional commitments)
AID.CTR.335366.01.1;2013;VOLA MAHASOA SA*VM;yes;MG4000780822;RUE NAKA RABEMANANTSOA 24 LOT III;ANTANANARIVO RENIVOHITRA;101;Madagascar;0,00€;;Madagascar;Operational;397.060,50€;Paiement des maitres FRAM dans la région de Atsimo Andrefana;Directorate-General for Development and Cooperation — EuropeAid;A Envelope - programmable aid (02.10.10.01);;Grants
AID.CTR.331827.01.1;2013;SERVICE AUTONOME DE MAINTENANCE DELA VILLE D'ANTANANARIVO EPIC*SAMVA;yes;;LOT II A 78 U BIS AB SOAVIMBAHOAKA;ANTANANARIVO;101;Madagascar;0,00€;;Madagascar;Operational;396.087,22€;Curage des collecteurs des eaux pluviales et eaux usées dans les zones basses de la Commune urbaine d'Antananarivo – Saison cyclonique 2013-2014 - SAMVA;Directorate-General for Development and Cooperation — EuropeAid;A Envelope - programmable aid (02.10.10.01);;Grants
AID.CTR.309341.01.1;2013;ARS PROGETTI SPA - AMBIENTE RISORSE E SVILUPPO*;yes;IT04388281000;VIA GIROLAMO DANDINI 16;ROMA;00154;Italy;0,00€;;Ivory Coast;Operational;371.000,00€;Suivi et monitoring du projet LIANE;Directorate-General for Development and Cooperation — EuropeAid;A Envelope - programmable aid (02.10.10.01);European Development Fund (10th EDF);Public procurement (including provisional commitments)
AID.CTR.334221.01.1;2013;TELMA MONEY SA*;yes;MG2000312230;ALAROBIA AMBONILOHA ANALAMANGA;ANTANANARIVO;101;Madagascar;0,00€;;Madagascar;Operational;368.557,54€;Paiement des Maitres FRAM par Mobile Money dans les régions de Menabe et d'Anosy;Directorate-General for Development and Cooperation — EuropeAid;A Envelope - programmable aid (02.10.10.01);;Grants
AID.CTR.313913.01.1;2013;TRANSTEC SA*;yes;BE0425684302;AVENUE DE TYRAS 75;BRUXELLES;1120;Belgium;0,00€;;ACP Countries;Operational;349.806,00€;Formulation d'un Programme économique régional pour la CEPGL;Directorate-General for Development and Cooperation — EuropeAid;Regional indicative programme (02.40.10);European Development Fund (10th EDF);Public procurement (including provisional commitments)
AID.CTR.331253.01.1;2013;UNITED NATIONS CHILDREN'S FUND*UNICEF LE FONDS DES NATIONS UNIES POURL'ENFANCE;yes;;UNITED NATIONS PLAZA 3;NEW YORK;10017;United States;0,00€;;Zimbabwe;Operational;344.318,00€;Contribution to Zimbabwe Multiple Indicator Cluster Survey (MICS) 2014;Directorate-General for Development and Cooperation — EuropeAid;B Envelope - Non-programmable aid - Devco (02.10.21.10);;Grants
AID.CTR.311906.01.1;2013;FOLKEKIRKENS NODHJAELP FOND*DANCHURCHAID DCA;yes;DK36980214;NORREGADE 13;KOBENHAVN K;1165;Denmark;0,00€;;Malawi;Operational;335.000,00€;ECHO/-SF/EDF/2012/02002 A Complimentary Emergency Response to Acute Food/ Nutritional Insecurity in Nsanje and Chikhwawa districts;Directorate-General for Development and Cooperation — EuropeAid;B Envelope - Non-programmable aid - Echo (02.10.21.20);European Development Fund (10th EDF);Grants
AID.CTR.330900.01.1;2013;UNITED NATIONS CHILDREN'S FUND*UNICEF LE FONDS DES NATIONS UNIES POURL'ENFANCE;yes;;UNITED NATIONS PLAZA 3;NEW YORK;10017;United States;0,00€;;Zimbabwe;Operational;325.000,00€;Contribution to Zimbabwe Multiple Indicator Cluster Survey (MICS) 2014;Directorate-General for Development and Cooperation — EuropeAid;B Envelope - Non-programmable aid - Devco (02.10.21.10);;Grants
AID.CTR.317675.01.1;2013;EEP ENERGY PARTNERS SARL*;yes;CHE114534679TVA;RUE NECKER 15;GENEVE;1201;Switzerland;0,00€;;Rwanda;Operational;315.120,00€;CEPGL/EGL – Assistance Technique dans le cadre de l'initiative « Énergie durable pour tous » pour la région des Grands Lacs;Directorate-General for Development and Cooperation — EuropeAid;Regional indicative programme (02.40.10);European Development Fund (10th EDF);Public procurement (including provisional commitments)
AID.CTR.314995.01.1;2013;SOCABA APS*;yes;DK31189527;BORSTENBINDERVEJ 12B;ODENSE M;5230;Denmark;0,00€;;Guinea (Conakry);Operational;299.885,00€;Assistance Technique auprès de la Commission Technique de Suivi dans le cadre de la réforme du Secteur de Sécurité en République de Guinée;Directorate-General for Development and Cooperation — EuropeAid;B Envelope - Non-programmable aid - Devco (02.10.21.10);European Development Fund (10th EDF);Public procurement (including provisional commitments)
AID.CTR.329623.01.1;2013;DURADEVE CONSULTING SARL*;yes;BF00009976X;AVENUE HOUARIE BOUMEDIENNE 1639;OUGADOUGOU;01;Burkina Faso;0,00€;;Guinea (Conakry);Operational;299.750,00€;Assistance Technique auprès du Comité de Pilotage de la Réforme du Secteur de Sécurité en République de Guinée;Directorate-General for Development and Cooperation — EuropeAid;B Envelope - Non-programmable aid - Devco (02.10.21.10);;Public procurement (including provisional commitments)
AID.CTR.313589.01.1;2013;ALATEC INGENIEROS CONSULTORES Y ARQUITECTOS SA*;yes;ESA28958684;CALLE JOSE ECHEGARAY 14;LAS ROZAS;28230;Spain;0,00€;;Madagascar;Operational;299.444,00€;ASSISTANCE TECHNIQUE EN APPUI A LA MAITRISE D'OUVRAGE DES PROJETS TRANSPORT;Directorate-General for Development and Cooperation — EuropeAid;A Envelope - programmable aid (02.10.10.01);European Development Fund (10th EDF);Public procurement (including provisional commitments)
AID.CTR.333203.01.1;2013;ERNST AND YOUNG BEDRIJFSREVISOREN CVBA*ERNST ET YOUNG REVISEURS D ENTREPRISES;yes;BE0446334711;DE KLEETLAAN 2;DIEGEM;1831;Belgium;0,00€;;Malawi;Operational;299.119,00€;Provision of Oversight Support to the Central Payment Office of the Accountant General's Department (AGD);Directorate-General for Development and Cooperation — EuropeAid;A Envelope - programmable aid (02.10.10.01);;Public procurement (including provisional commitments)
AID.CTR.329300.01.1;2013;CATHOLIC COMISSION FOR JUSTICE ANDPEACE ASSOCIATION*CCJP THE LESOTHOCATHOLIC BISHOPS' CONFERENCE;yes;;MAIN NORTH ONE CATHEDRAL AREA;MASERU;100;Lesotho;0,00€;;Lesotho;Operational;296.792,04€;Strengthening Civil Society in Lesotho (SCIL3);Directorate-General for Development and Cooperation — EuropeAid;A Envelope - programmable aid (02.10.10.01);;Grants
AID.CTR.327153.01.1;2013;COWI AS*KAMPSAX GEODAN GEOPLUS KAMPSAX DATA GEOPLAN GEOMASTERS GEODATA AGRINOVA INTERNATIONAL KAMPSAX INTERNATIONAL KAMPSAX TEKNIK;yes;DK44623528;PARALLELVEJ 2;KONGENS LYNGBY;2800;Denmark;0,00€;;Chad;Operational;295.874,00€;Mission d’identification et de formulation du Programme d'Appui à la Societe Civile au Tchad  dans le cadre du 11ème FED;Directorate-General for Development and Cooperation — EuropeAid;A Envelope - programmable aid (02.10.10.01);;Public procurement (including provisional commitments)
AID.CTR.324502.01.1;2013;PARTICIP GMBH CONSULTANTS FUR ENTWICKLUNG UND UMWELT*;yes;DE142927394;MERZHAUSER STR 183;FREIBURG;79100;Germany;0,00€;;Guinea (Conakry);Operational;291.444,00€;Assistance technique en appui au démarrage de la reforme du secteur de la justice en République de Guinée;Directorate-General for Development and Cooperation — EuropeAid;B Envelope - Non-programmable aid - Devco (02.10.21.10);;Public procurement (including provisional commitments)
AID.CTR.326315.01.1;2013;CAMBRIDGE EDUCATION LIMITED*;yes;GB523765636;SYDENHAM ROAD 8 10;CROYDON;CR0 2EE;United Kingdom;0,00€;;Namibia;Operational;286.874,00€;ASSIST THE MINISTRY OF EDUCATION IN ENHANCING LITERACY TEACHING;Directorate-General for Development and Cooperation — EuropeAid;A Envelope - programmable aid (02.10.10.01);;Public procurement (including provisional commitments)
AID.CTR.324988.01.1;2013;HTSPE LIMITED*;yes;GB918048517;BOUNDARY WAY THAMESFIELD HOUSE;HEMEL HEMPSTEAD;HP2 7SR;United Kingdom;0,00€;;Mauritania;Operational;285.140,00€;Revue institutionnelle du secteur agricole et pastoral - Composante 1;Directorate-General for Development and Cooperation — EuropeAid;A Envelope - programmable aid (02.10.10.01);;Public procurement (including provisional commitments)
AID.CTR.325498.01.1;2013;AGRER SA*;yes;BE0400501419;AVENUE LOUISE 251/23;BRUXELLES;1050;Belgium;0,00€;;Rwanda;Operational;281.680,00€;Baseline survey of horticultural cooperatives and other producer organisations and groups in Rwanda;Directorate-General for Development and Cooperation — EuropeAid;A Envelope - programmable aid (02.10.10.01);;External experts
AID.CTR.319337.01.1;2013;EURONET CONSULTING GEIE*;yes;BE0446840101;RUE MONTOYER 39;BRUXELLES;1040;Belgium;0,00€;;West Africa Region;Operational;279.063,00€;Suivi / Evaluation de la composante 3 ''périphéries WAP' du PAPE (Programme d'Appui aux Parcs de l'Entente) - Burkina, Benin, Niger;Directorate-General for Development and Cooperation — EuropeAid;Regional indicative programme (02.40.10);;Public procurement (including provisional commitments)
AID.CTR.325411.01.1;2013;EUROPEAN CENTRE FOR DEVELOPMENT POLICY MANAGEMENT*;yes;NL008254023B01;ONZE LIEVE VROUWEPLEIN 21;MAASTRICHT;6211 HE;Netherlands;0,00€;;Madagascar;Operational;275.000,00€;Appui à la facilitation du dialogue avce les différentes catégories d'organisation de la société civile et soutien à la mise en oeuvre du programme d'appui à la société civile de Madagascar;Directorate-General for Development and Cooperation — EuropeAid;A Envelope - programmable aid (02.10.10.01);;Public procurement (including provisional commitments)
AID.CTR.327286.01.1;2013;ALATEC INGENIEROS CONSULTORES Y ARQUITECTOS SA*;yes;ESA28958684;CALLE JOSE ECHEGARAY 14;LAS ROZAS;28230;Spain;0,00€;;ACP Countries;Operational;274.320,00€;Etude simplification des documents de passation pour des travaux d'infradtructures de faible importance;Directorate-General for Development and Cooperation — EuropeAid;Use of interest (05.10.20);;Public procurement (including provisional commitments)
AID.CTR.331212.01.1;2013;AIDE A LA DECISION ECONOMIQUE SA*;yes;BE0439825021;RUE DE CLAIRVAUX 40/101;LOUVAIN LA NEUVE;1348;Belgium;0,00€;;Southern Africa Region (EDF 10);Operational;272.448,00€;Technical Assistance to implement SADC trade related assistance programmes;Directorate-General for Development and Cooperation — EuropeAid;Regional indicative programme (02.40.10);;Public procurement (including provisional commitments)
AID.CTR.317774.01.1;2013;ACE INTERNATIONAL CONSULTANTS SL*;yes;ESB79217279;CALLE SAGUNTO 17;MADRID;28010;Spain;0,00€;;Namibia;Operational;271.189,00€;ACE - FWC - ENHANCE THE CAPACITY OF THE MINISTRY OF EDUCATION WITH PROGRAM BASED COSTING, BUDGETING AND EXPENDITURE MANAGEMENT;Directorate-General for Development and Cooperation — EuropeAid;A Envelope - programmable aid (02.10.10.01);;Public procurement (including provisional commitments)
AID.CTR.317463.01.1;2013;APPLICATION EUROPEENNE DE TECHNOLOGIES ET DE SERVICES SARL*AETS;yes;FR77409706520;AVENUE ANDRE MARIE AMPERE 17;LONS;64140;France;0,00€;;Tanzania;Operational;270.390,00€;Bridging Phase - Zanzibar Renewable Energies and Energy Efficiency;Directorate-General for Development and Cooperation — EuropeAid;A Envelope - programmable aid (02.10.10.01);;Public procurement (including provisional commitments)
AID.CTR.322926.01.1;2013;CONCEPTION, ETUDES ET COOPERATION DE FORMATION SA*CECOFORMA;yes;BE0419831539;RUE LEON FREDERICQ 14;LIEGE;4020;Belgium;0,00€;;ACP Countries;Operational;268.316,50€;A New Deal for Somalia, Brussels Conference, 16 September 2013;Directorate-General for Development and Cooperation — EuropeAid;Use of interest (05.10.20);;Public procurement (including provisional commitments)
AID.CTR.332257.01.1;2013;APPLICATION EUROPEENNE DE TECHNOLOGIES ET DE SERVICES SARL*AETS;yes;FR77409706520;AVENUE ANDRE MARIE AMPERE 17;LONS;64140;France;0,00€;;Ghana;Operational;261.104,00€;IDENTIFICATION OF ACTIONS IN THE FIELD OF INFRASTRUCTURES AND AGRICULTURE UNDER THE 11TH EDF;Directorate-General for Development and Cooperation — EuropeAid;A Envelope - programmable aid (02.10.10.01);;Public procurement (including provisional commitments)
AID.CTR.316554.01.1;2013;ALATEC INGENIEROS CONSULTORES Y ARQUITECTOS SA*;yes;ESA28958684;CALLE JOSE ECHEGARAY 14;LAS ROZAS;28230;Spain;0,00€;;Chad;Operational;258.560,00€;Contrôle technique et financier des contrats de travaux et de surveillance de la route Sarh - Kyabé;Directorate-General for Development and Cooperation — EuropeAid;A Envelope - programmable aid (02.10.10.01);European Development Fund (10th EDF);Public procurement (including provisional commitments)
AID.CTR.318367.01.1;2013;ACE INTERNATIONAL CONSULTANTS SL*;yes;ESB79217279;CALLE SAGUNTO 17;MADRID;28010;Spain;0,00€;;Togo;Operational;251.370,00€;Assistance technique auprès de la Cellule à l'Ordonnateur National du FED au Togo;Directorate-General for Development and Cooperation — EuropeAid;A Envelope - programmable aid (02.10.10.01);;Public procurement (including provisional commitments)
AID.CTR.325442.01.1;2013;BUSINESS AND STRATEGIES IN EUROPE SA*;yes;BE0442745018;RUE DE LA LOI 81A;BRUXELLES;1040;Belgium;0,00€;;Guinea (Conakry);Operational;250.750,00€;Appui à l'organisation des États Généraux sur le Foncier et réalisation du Cadre d’Analyse de la Gouvernance Foncière (CAGF);Directorate-General for Development and Cooperation — EuropeAid;B Envelope - Non-programmable aid - Devco (02.10.21.10);;Public procurement (including provisional commitments)
AID.CTR.314537.01.1;2013;MUSIC MAYDAY TANZANIA COMPANY LIMITED LBG*;yes;;LIGHT INDUSTRIAL ROAD PLOT 41;DAR ES SALAAM;;Tanzania;0,00€;;Tanzania;Operational;250.000,00€;The Sounds of Tomorrow: Developing capacities of musicians and music related professionals in Tanzania;Directorate-General for Development and Cooperation — EuropeAid;A Envelope - programmable aid (02.10.10.01);European Development Fund (10th EDF);Grants
AID.CTR.313819.01.1;2013;UNITED NATIONS EDUCATIONAL SCIENTIFIC AND CULTURAL ORGANIZATION*UNESCO ORGANISATION DES NATIONES UNIES L'EDUCATION LA SCIENCE ET LA CULTURE;yes;;PLACE DE FONTENOY 7;PARIS 07 SP;75352;France;0,00€;;Tanzania;Operational;249.987,00€;Community Art Space (CAS) - A tool for local development;Directorate-General for Development and Cooperation — EuropeAid;A Envelope - programmable aid (02.10.10.01);European Development Fund (10th EDF);Grants
AID.CTR.322676.01.1;2013;PARTICIP GMBH CONSULTANTS FUR ENTWICKLUNG UND UMWELT*;yes;DE142927394;MERZHAUSER STR 183;FREIBURG;79100;Germany;0,00€;;Sudan;Operational;248.960,00€;Provision of technical assistance to promote cooperation between the EU and Sudan;Directorate-General for Development and Cooperation — EuropeAid;Macroeconomic support (02.10.10.10);;Public procurement (including provisional commitments)
AID.CTR.312628.01.1;2013;THE BRITISH COUNCIL ROYAL CHARTER*;yes;GB238767421;SPRING GARDENS 10;LONDON;SW1A 2BN;United Kingdom;0,00€;;Tanzania;Operational;248.056,00€;Skills for Creative Industry Support Services;Directorate-General for Development and Cooperation — EuropeAid;A Envelope - programmable aid (02.10.10.01);European Development Fund (10th EDF);Grants
AID.CTR.314736.01.1;2013;MAASAI PASTORALISTS FOUNDATION LIMITED*MPF;yes;;KWA IDDY NJIA YA NG OMBE UNITED POW;ARUSHA;;Tanzania;0,00€;;Tanzania;Operational;248.000,00€;Collection and conservation of Maasai Kisongo Arts of History and Culture;Directorate-General for Development and Cooperation — EuropeAid;A Envelope - programmable aid (02.10.10.01);European Development Fund (10th EDF);Grants
AID.CTR.332464.01.1;2013;COWI AS*KAMPSAX GEODAN GEOPLUS KAMPSAX DATA GEOPLAN GEOMASTERS GEODATA AGRINOVA INTERNATIONAL KAMPSAX INTERNATIONAL KAMPSAX TEKNIK;yes;DK44623528;PARALLELVEJ 2;KONGENS LYNGBY;2800;Denmark;0,00€;;Solomon Islands;Operational;246.928,00€;Monitoring and Evaluation Expert to Assist Implementation of the National Development Strategy;Directorate-General for Development and Cooperation — EuropeAid;A Envelope - programmable aid (02.10.10.01);;Public procurement (including provisional commitments)
AID.CTR.297369.01.1;2013;NAFASI ART SPACE NGO*;yes;;WESTERN BLOCK PLOT 41 MIKOCHENI B;DAR ES SALAAM;0071;Tanzania;0,00€;;East Africa Region;Operational;245.837,00€;Nafasi Art Space: Creating Opportunities for professional visual arts in Tanzania;Directorate-General for Development and Cooperation — EuropeAid;A Envelope - programmable aid (02.10.10.01);European Development Fund (10th EDF);Grants
