Commitment position key;Year;Name of beneficiary;Coordinator;VAT Number of beneficiary;Address;City;Postal code;Country / Territory;Amount;NUTS2;Geographical Zone;Expense Type;Co-financing rate;Total amount;Subject of grant or contract;Responsible Department;Budget line name and number;Action Type;Funding Type
AID.CTR.281908.01.1;2012;CAMBRIDGE EDUCATION LIMITED*;yes;GB523765636;SYDENHAM ROAD 8 10;CROYDON;CR0 2EE;United Kingdom;;;Angola;Operational;;199.586,00 €;Evaluation of institutional capacity in primary education and formulation of PAEP II;Directorate-General for Development and Cooperation — EuropeAid;A Envelope - programmable aid (02.10.10.01);European Development Fund (10th EDF);Public procurement and other expenditure
AID.CTR.287860.01.1;2012;CONCEPTION, ETUDES ET COOPERATION DE FORMATION SA*CECOFORMA;yes;BE0419831539;RUE LEON FREDERICQ 14;LIEGE;4020;Belgium;;;West Africa Region;Operational;;199.539,91 €;Organisation de la cérémonie d''installation des membres du Conseil des Collectivités Territoriales - CCT UEMOA;Directorate-General for Development and Cooperation — EuropeAid;Regional indicative programme (02.40.10);European Development Fund (10th EDF);Public procurement and other expenditure
AID.CTR.304012.01.1;2012;STTE CONSORTIUM SOCIETE MOMENTANEE*STDE;yes;BE0886708276;GULLEDELLE 92;BRUXELLES;1200;Belgium;;;Senegal;Operational;;199.342,00 €;Diagnostic sur le secteur transport routier de marchandises;Directorate-General for Development and Cooperation — EuropeAid;A Envelope - programmable aid (02.10.10.01);European Development Fund (10th EDF);Public procurement and other expenditure
AID.CTR.280451.01.1;2012;COWI AS*KAMPSAX GEODAN GEOPLUS KAMPSAX DATA GEOPLAN GEOMASTERS GEODATA AGRINOVA INTERNATIONAL KAMPSAX INTERNATIONAL KAMPSAX TEKNIK;yes;DK44623528;PARALLELVEJ 2;KONGENS LYNGBY;2800;Denmark;;;Sudan;Operational;;199.160,00 €;Technical Assistance for the International Partners Forum for Human Rights;Directorate-General for Development and Cooperation — EuropeAid;Macroeconomic support (02.10.10.10);European Development Fund (9th EDF);Public procurement and other expenditure
AID.CTR.286053.01.1;2012;IBF INTERNATIONAL CONSULTING SA*;yes;BE0417827795;AVENUE LOUISE 209A;BRUXELLES;1050;Belgium;;;Haiti;Operational;;199.081,00 €;Assistance technique  court terme au  Programme d’Appui à la Gouvernance et à l’Investissement Local;Directorate-General for Development and Cooperation — EuropeAid;A Envelope - programmable aid (02.10.10.01);European Development Fund (10th EDF);Public procurement and other expenditure
AID.CTR.278862.01.1;2012;ITALTREND C&T SPA*;yes;IT02537610343;VIA ANTONIO GRAMSCI 56;REGGIO EMILIA;42124;Italy;;;Guinea (Conakry);Operational;;199.040,00 €;Etude d''identification du programme RSS en Guinée Conakry (10ème FED);Directorate-General for Development and Cooperation — EuropeAid;B Envelope - Non-programmable aid - Devco (02.10.21.10);European Development Fund (10th EDF);Public procurement and other expenditure
AID.CTR.305814.01.1;2012;ASTEC GLOBAL CONSULTANCY LIMITED*;yes;IE6567017J;MERRION SQUARE 25;DUBLIN 2;;Ireland;;;ACP Countries;Operational;;198.725,00 €;Recruitment of a team of experts to support the development of a Knowledge Management Framework and related services for CKLN;Directorate-General for Development and Cooperation — EuropeAid;Various intra ACP, other programmed sectors (04.20.65);European Development Fund (10th EDF);Public procurement and other expenditure
AID.CTR.284507.01.1;2012;ECORYS NEDERLAND BV*;yes;NL808028741B08;WATERMANWEG 44;ROTTERDAM;3067 GG;Netherlands;;;Guinea (Conakry);Operational;;198.650,00 €;Mission de Formulation du Projet d''Appui à la Santé en Guinée PASA;Directorate-General for Development and Cooperation — EuropeAid;B Envelope - Non-programmable aid - Devco (02.10.21.10);European Development Fund (10th EDF);Public procurement and other expenditure
AID.CTR.292191.01.1;2012;ITALTREND C&T SPA*;yes;IT02537610343;VIA ANTONIO GRAMSCI 56;REGGIO EMILIA;42124;Italy;;;Belize;Operational;;198.560,00 €;Trade negotiations logistics for the creation of a partial scope agreement between mexico and belize;Directorate-General for Development and Cooperation — EuropeAid;A Envelope - programmable aid (02.10.10.01);European Development Fund (10th EDF);Public procurement and other expenditure
AID.CTR.296528.01.1;2012;COWI AS*KAMPSAX GEODAN GEOPLUS KAMPSAX DATA GEOPLAN GEOMASTERS GEODATA AGRINOVA INTERNATIONAL KAMPSAX INTERNATIONAL KAMPSAX TEKNIK;yes;DK44623528;PARALLELVEJ 2;KONGENS LYNGBY;2800;Denmark;;;Madagascar;Operational;;198.518,00 €;Etude ''''Rôle des ANE dans la gouvernance sectorielle: compléments à la cartographie des acteurs non étatiques à Madagascar;Directorate-General for Development and Cooperation — EuropeAid;A Envelope - programmable aid (02.10.10.01);European Development Fund (10th EDF);Public procurement and other expenditure
AID.CTR.277782.01.1;2012;AGRICONSULTING EUROPE SA*AESA;yes;BE0452263785;AVENUE DE TERVUREN 36/21;BRUXELLES;1040;Belgium;;;Rwanda;Operational;;198.420,00 €;Technical Assistance to Mainstream Food Security and Nutrition in the Agricultural Sector in Rwanda;Directorate-General for Development and Cooperation — EuropeAid;A Envelope - programmable aid (02.10.10.01);European Development Fund (10th EDF);Public procurement and other expenditure
AID.CTR.278643.01.1;2012;BUSINESS AND STRATEGIES IN EUROPE SA*;yes;BE0442745018;RUE DE LA LOI 81A;BRUXELLES;1040;Belgium;;;South Sudan;Operational;;198.346,00 €;Provision of TA in support of EU Programmes for The Governance and Rule of law sector in South Sudan;Directorate-General for Development and Cooperation — EuropeAid;Macroeconomic support (02.10.10.10);European Development Fund (9th EDF);Public procurement and other expenditure
AID.CTR.292530.01.1;2012;DFC SA*;yes;ESA78398906;BALMES 89-91 7/5;BARCELONA;08008;Spain;;;Namibia;Operational;;197.885,00 €;DFC - FWC - Support the Ministry of Education with the audit of Human Resources and payroll system;Directorate-General for Development and Cooperation — EuropeAid;A Envelope - programmable aid (02.10.10.01);European Development Fund (10th EDF);Public procurement and other expenditure
AID.CTR.290769.01.1;2012;PARTICIP GMBH CONSULTANTS FUR ENTWICKLUNG UND UMWELT*;yes;DE142927394;MERZHAUSER STR 183;FREIBURG;79100;Germany;;;Intra ACP Allocations;Operational;;197.760,00 €;Final evaluation of the Participatory Slum Upgrading Programme;Directorate-General for Development and Cooperation — EuropeAid;Various intra ACP, other programmed sectors (04.20.65);European Development Fund (10th EDF);Public procurement and other expenditure
AID.CTR.294046.01.1;2012;EURONET CONSULTING GEIE*;yes;BE0446840101;RUE MONTOYER 39;BRUXELLES;1040;Belgium;;;Ghana;Operational;;197.636,00 €;GHANA - PREPARATION OF A TRANSPORT SECTOR RESEARCH STRATEGY, CLIMATE CHANGE STRATEGY AND COSTED IMPLEMENTATION PLAN;Directorate-General for Development and Cooperation — EuropeAid;A Envelope - programmable aid (02.10.10.01);European Development Fund (10th EDF);Public procurement and other expenditure
AID.CTR.281094.01.1;2012;SAFEGE SA*;yes;FR82542021829;RUE DU PORT 15-27 PARC DE L ILE;NANTERRE;92000;France;;;Haiti;Operational;;197.194,00 €;Assistance technique pour un appui administratif et financier au PITDD;Directorate-General for Development and Cooperation — EuropeAid;A Envelope - programmable aid (02.10.10.01);European Development Fund (10th EDF);Public procurement and other expenditure
AID.CTR.288554.01.1;2012;ALATEC INGENIEROS CONSULTORES Y ARQUITECTOS SA*;yes;ESA28958684;CALLE JOSE ECHEGARAY 14;LAS ROZAS;28230;Spain;;;Caribbean Region;Operational;;197.176,00 €;Etude de formulation de la réhabilitation de pistes rurales et des infrastructures douanières;Directorate-General for Development and Cooperation — EuropeAid;A Envelope - programmable aid (02.10.10.01);European Development Fund (10th EDF);Public procurement and other expenditure
AID.CTR.286090.01.1;2012;AIDE A LA DECISION ECONOMIQUE SA*;yes;BE0439825021;RUE DE CLAIRVAUX 40/101;LOUVAIN LA NEUVE;1348;Belgium;;;Namibia;Operational;;196.982,00 €;Support to the Ministry of Education with the development of a realistic budget base for Vote 10;Directorate-General for Development and Cooperation — EuropeAid;A Envelope - programmable aid (02.10.10.01);European Development Fund (10th EDF);Public procurement and other expenditure
AID.CTR.305809.01.1;2012;ASTEC GLOBAL CONSULTANCY LIMITED*;yes;IE6567017J;MERRION SQUARE 25;DUBLIN 2;;Ireland;;;ACP Countries;Operational;;196.880,00 €;Recruitment of a team of experts to support the development of NRENs through the CKLN;Directorate-General for Development and Cooperation — EuropeAid;Various intra ACP, other programmed sectors (04.20.65);European Development Fund (10th EDF);Public procurement and other expenditure
AID.CTR.296272.01.1;2012;STTE CONSORTIUM SOCIETE MOMENTANEE*STDE;yes;BE0886708276;GULLEDELLE 92;BRUXELLES;1200;Belgium;;;Benin;Operational;;196.874,00 €;Complément à l''Audit Technique - Expertise Technique et Légale du Projet de Réhabilitation de la route Parakou-Béroubouay;Directorate-General for Development and Cooperation — EuropeAid;A Envelope - programmable aid (02.10.10.01);European Development Fund (10th EDF);Public procurement and other expenditure
AID.CTR.297992.01.1;2012;CARDNO EMERGING MARKETS (UK) LTD*;yes;GB225943652;OXFORD ROAD OXFORD HOUSE;THAME;OX9 2AH;United Kingdom;;;West Africa Region;Operational;;196.658,00 €;Formulation Mission of 10th EDF regional programme - Seeds and ECOAGRIS in West Africa;Directorate-General for Development and Cooperation — EuropeAid;Regional indicative programme (02.40.10);European Development Fund (10th EDF);Public procurement and other expenditure
AID.CTR.303635.01.1;2012;ACE INTERNATIONAL CONSULTANTS SL*;yes;ESB79217279;CALLE SAGUNTO 17;MADRID;28010;Spain;;;Lesotho;Operational;;196.582,00 €;Support to the National Authorising Officer;Directorate-General for Development and Cooperation — EuropeAid;A Envelope - programmable aid (02.10.10.01);European Development Fund (10th EDF);Public procurement and other expenditure
AID.CTR.300954.01.1;2012;ITALTREND C&T SPA*;yes;IT02537610343;VIA ANTONIO GRAMSCI 56;REGGIO EMILIA;42124;Italy;;;Guinea (Conakry);Operational;;196.204,00 €;AT Mission de formulation du PA-RSS;Directorate-General for Development and Cooperation — EuropeAid;B Envelope - Non-programmable aid - Devco (02.10.21.10);European Development Fund (10th EDF);Public procurement and other expenditure
AID.CTR.299751.01.1;2012;GANOUX FLORENCE *;yes;*****;*****;*****;*****;Italy;;;Congo (Democratic Republic of the);Operational;;195.050,00 €;AT pour le Programme d''appui au projet d''appui au cylce électoral PACE II;Directorate-General for Development and Cooperation — EuropeAid;A Envelope - programmable aid (02.10.10.01);European Development Fund (10th EDF);Public procurement and other expenditure
AID.CTR.283147.01.1;2012;COWI BELGIUM SPRL*;yes;BE0472972493;AVENUE DE TERVUREN 13B;BRUXELLES;1040;Belgium;;;Mali;Operational;;194.950,00 €;Réhabilitation de l''axe ferroviaire Dakar-Bamako: Elaboration des études techniques préliminaires pour les travaux d''urgence du tronçon Goudiri-Kidira (frontière malienne);Directorate-General for Development and Cooperation — EuropeAid;A Envelope - programmable aid (02.10.10.01);European Development Fund (10th EDF);Public procurement and other expenditure
AID.CTR.310754.01.1;2012;IBF INTERNATIONAL CONSULTING SA*;yes;BE0417827795;AVENUE LOUISE 209A;BRUXELLES;1050;Belgium;;;Benin;Operational;;194.596,00 €;ASSISTANCE TECHNIQUE A LA FORMULATION DE LA STRATÉGIE DE REDYNAMISATION DES RÉFORMES DE LA FONCTION PUBLIQUE DU BENIN;Directorate-General for Development and Cooperation — EuropeAid;A Envelope - programmable aid (02.10.10.01);European Development Fund (10th EDF);Public procurement and other expenditure
AID.CTR.298465.01.1;2012;ALATEC INGENIEROS CONSULTORES Y ARQUITECTOS SA*;yes;ESA28958684;CALLE JOSE ECHEGARAY 14;LAS ROZAS;28230;Spain;;;"General / administrative budget / interests	Allgemeines";Operational;;193.637,00 €;PRODUCTION OF A REFERENCE DOCUMENT ON ADRESSING GOVERNANCE ISSUES IN TRANSPORT SECTOR IN SUB-SAHARAN AFRICA;Directorate-General for Development and Cooperation — EuropeAid;Support expenditure (05.10.10);European Development Fund (10th EDF);Public procurement and other expenditure
AID.CTR.286993.01.1;2012;ECORYS NEDERLAND BV*;yes;NL808028741B08;WATERMANWEG 44;ROTTERDAM;3067 GG;Netherlands;;;Mozambique;Operational;;192.470,00 €;Assistência Técnica para a Elaboração da Estratégia de Atracção e Retenção no Sector da Saúde;Directorate-General for Development and Cooperation — EuropeAid;A Envelope - programmable aid (02.10.10.01);European Development Fund (10th EDF);Public procurement and other expenditure
AID.CTR.296331.01.1;2012;ALATEC INGENIEROS CONSULTORES Y ARQUITECTOS SA*;yes;ESA28958684;CALLE JOSE ECHEGARAY 14;LAS ROZAS;28230;Spain;;;Chad;Operational;;189.920,00 €;Réalisation des plans d''investissement en AEP de 6 centres urbains;Directorate-General for Development and Cooperation — EuropeAid;A Envelope - programmable aid (02.10.10.01);European Development Fund (10th EDF);Public procurement and other expenditure
AID.CTR.303449.01.1;2012;LANDELL MILLS LIMITED*;yes;GB501874068;BRYER-ASH BUSINESS PARK;TROWBRIDGE;BA14 8HE;United Kingdom;;;Mozambique;Operational;;189.779,00 €;Preparation and Initial Implementation of the Monitoring Famework of the MDG programme.;Directorate-General for Development and Cooperation — EuropeAid;A Envelope - programmable aid (02.10.10.01);European Development Fund (10th EDF);Public procurement and other expenditure
AID.CTR.290908.01.1;2012;EPTISA SERVICIOS DE INGENIERIA SL*;yes;ESB85097962;CALLE EMILIO MUNOZ 35;MADRID;28037;Spain;;;Haiti;Operational;;189.650,00 €;Etudes d''Identification des investissements à réaliser dans le cadre du PAIBA;Directorate-General for Development and Cooperation — EuropeAid;A Envelope - programmable aid (02.10.10.01);European Development Fund (10th EDF);Public procurement and other expenditure
AID.CTR.291323.01.1;2012;COWI AS*KAMPSAX GEODAN GEOPLUS KAMPSAX DATA GEOPLAN GEOMASTERS GEODATA AGRINOVA INTERNATIONAL KAMPSAX INTERNATIONAL KAMPSAX TEKNIK;yes;DK44623528;PARALLELVEJ 2;KONGENS LYNGBY;2800;Denmark;;;Mauritania;Operational;;189.400,00 €;Identification et préparation du nouveau programme de développement local et de décentralisation (10ème FED) en Mauritanie;Directorate-General for Development and Cooperation — EuropeAid;A Envelope - programmable aid (02.10.10.01);European Development Fund (10th EDF);Public procurement and other expenditure
AID.CTR.307051.01.1;2012;LANDELL MILLS LIMITED*;yes;GB501874068;BRYER-ASH BUSINESS PARK;TROWBRIDGE;BA14 8HE;United Kingdom;;;Caribbean Region;Operational;;188.276,00 €;Study on the Development of the coconut industry in the Caribbean Region;Directorate-General for Development and Cooperation — EuropeAid;Various intra ACP, other programmed sectors (04.20.65);European Development Fund (10th EDF);Public procurement and other expenditure
AID.CTR.284506.01.1;2012;ALATEC INGENIEROS CONSULTORES Y ARQUITECTOS SA*;yes;ESA28958684;CALLE JOSE ECHEGARAY 14;LAS ROZAS;28230;Spain;;;Guinea (Conakry);Operational;;186.837,00 €;ASPE iOMD Formulation du Projet d''Appui au Service Public de l''Eau en milieu rural et semi-urbain en Guinée (Initiative OMD);Directorate-General for Development and Cooperation — EuropeAid;B Envelope - Non-programmable aid - Devco (02.10.21.10);European Development Fund (10th EDF);Public procurement and other expenditure
AID.CTR.288402.01.1;2012;LANDELL MILLS LIMITED*;yes;GB501874068;BRYER-ASH BUSINESS PARK;TROWBRIDGE;BA14 8HE;United Kingdom;;;Rwanda;Operational;;186.155,00 €;Review of decentralization, soil protection and non-traditional value chain development in Rwandas agriculture sector to inform the sector strategy 2013-17;Directorate-General for Development and Cooperation — EuropeAid;A Envelope - programmable aid (02.10.10.01);European Development Fund (10th EDF);Public procurement and other expenditure
AID.CTR.299193.01.1;2012;APPLICATION EUROPEENNE DE TECHNOLOGIES ET DE SERVICES SARL*AETS;yes;FR77409706520;AVENUE ANDRE MARIE AMPERE 17;LONS;64140;France;;;"General / administrative budget / interests	Allgemeines";Operational;;186.076,00 €;Study ''''Assessing the impact of biofuels production on developing countries - Policy Coherence for Development'''';Directorate-General for Development and Cooperation — EuropeAid;Support expenditure (05.10.10);European Development Fund (10th EDF);Public procurement and other expenditure
AID.CTR.296473.01.1;2012;COWI AS*KAMPSAX GEODAN GEOPLUS KAMPSAX DATA GEOPLAN GEOMASTERS GEODATA AGRINOVA INTERNATIONAL KAMPSAX INTERNATIONAL KAMPSAX TEKNIK;yes;DK44623528;PARALLELVEJ 2;KONGENS LYNGBY;2800;Denmark;;;Benin;Operational;;185.471,00 €;Assistance Technique à l''EEEOA - Système d’Echanges d’Energie Electrique Ouest Africain;Directorate-General for Development and Cooperation — EuropeAid;A Envelope - programmable aid (02.10.10.01);European Development Fund (10th EDF);Public procurement and other expenditure
AID.CTR.278971.01.1;2012;DANISH MANAGEMENT AS*;yes;DK12759274;VESTRE KONJEVEJ 6;VIBY J;8260;Denmark;;;Jamaica;Operational;;184.975,00 €;Media and Communication support for the EU Delegation in Jamaica;Directorate-General for Development and Cooperation — EuropeAid;A Envelope - programmable aid (02.10.10.01);European Development Fund (10th EDF);Public procurement and other expenditure
AID.CTR.291423.01.1;2012;APPLICATION EUROPEENNE DE TECHNOLOGIES ET DE SERVICES SARL*AETS;yes;FR77409706520;AVENUE ANDRE MARIE AMPERE 17;LONS;64140;France;;;African Union;Operational;;184.848,00 €;Evaluation of the Support to Farmers’ Organizations in Africa Programme (SFOAP) - Contribution Agreement with IFAD - CRIS 148 722;Directorate-General for Development and Cooperation — EuropeAid;Support expenditure (05.10.10);European Development Fund (10th EDF);Public procurement and other expenditure
AID.CTR.296915.01.1;2012;ACE INTERNATIONAL CONSULTANTS SL*;yes;ESB79217279;CALLE SAGUNTO 17;MADRID;28010;Spain;;;Benin;Operational;;184.664,00 €;AT auprès de l''INSAE et de l''ON pour la préparation et la mise en oeuvre d''appuis au Système Statistique National;Directorate-General for Development and Cooperation — EuropeAid;A Envelope - programmable aid (02.10.10.01);European Development Fund (10th EDF);Public procurement and other expenditure
AID.CTR.293233.01.1;2012;TRANSTEC SA*;yes;BE0425684302;AVENUE DE TYRAS 75;BRUXELLES;1120;Belgium;;;Pacific Region;Operational;;183.456,00 €;Consultant to the RAO;Directorate-General for Development and Cooperation — EuropeAid;Regional indicative programme (02.40.10);European Development Fund (10th EDF);Public procurement and other expenditure
AID.CTR.291161.01.1;2012;GROUPE DE RECHERCHE ET D'ECHANGES TECHNOLOGIQUES*GRET;yes;FR04309123057;AVENUE DE LA BELLE GABRIELLE 45BIS;NOGENT SUR MARNE;94130;France;;;Haiti;Operational;;183.114,00 €;Etude d''impact de l''Accord de partenariat économique (APE) en Haïti;Directorate-General for Development and Cooperation — EuropeAid;A Envelope - programmable aid (02.10.10.01);European Development Fund (10th EDF);Public procurement and other expenditure
AID.CTR.290514.01.1;2012;LANDELL MILLS LIMITED*;yes;GB501874068;BRYER-ASH BUSINESS PARK;TROWBRIDGE;BA14 8HE;United Kingdom;;;Malawi;Operational;;183.000,00 €;FIDP Phase I (FED/2004/17412) End of Term Review and FIDP Phase II (FED/2009/21346) Mid Term Review;Directorate-General for Development and Cooperation — EuropeAid;A Envelope - programmable aid (02.10.10.01);European Development Fund (10th EDF);Public procurement and other expenditure
AID.CTR.294825.01.1;2012;AGRICONSULTING EUROPE SA*AESA;yes;BE0452263785;AVENUE DE TERVUREN 36/21;BRUXELLES;1040;Belgium;;;Swaziland;Operational;;182.950,00 €;Development of National Education and Training Improvement Programme (NETIP)  for Swaziland;Directorate-General for Development and Cooperation — EuropeAid;A Envelope - programmable aid (02.10.10.01);European Development Fund (10th EDF);Public procurement and other expenditure
AID.CTR.306645.01.1;2012;RESOURCES AND LOGISTICS SARL*;yes;;RUE PIERRE HARET 2;PARIS 09;75009;France;;;Ivory Coast;Operational;;182.650,00 €;Diagnostic du secteur de l''énergie en Côte d''Ivoire;Directorate-General for Development and Cooperation — EuropeAid;A Envelope - programmable aid (02.10.10.01);European Development Fund (10th EDF);Public procurement and other expenditure
AID.CTR.285145.01.1;2012;AIDE A LA DECISION ECONOMIQUE SA*;yes;BE0439825021;RUE DE CLAIRVAUX 40/101;LOUVAIN LA NEUVE;1348;Belgium;;;Uganda;Operational;;182.353,00 €;Economist to Support JBSF Chair;Directorate-General for Development and Cooperation — EuropeAid;A Envelope - programmable aid (02.10.10.01);European Development Fund (10th EDF);Public procurement and other expenditure
AID.CTR.282926.01.1;2012;PARTICIP GMBH CONSULTANTS FUR ENTWICKLUNG UND UMWELT*;yes;DE142927394;MERZHAUSER STR 183;FREIBURG;79100;Germany;;;Senegal;Operational;;180.284,00 €;Rôle des ANE dans la gouvernance sectorielle: compléments à la cartographie des ANE au Sénégal;Directorate-General for Development and Cooperation — EuropeAid;A Envelope - programmable aid (02.10.10.01);European Development Fund (10th EDF);Public procurement and other expenditure
AID.CTR.292535.01.1;2012;AIDE A LA DECISION ECONOMIQUE SA*;yes;BE0439825021;RUE DE CLAIRVAUX 40/101;LOUVAIN LA NEUVE;1348;Belgium;;;Togo;Operational;;180.257,00 €;Appui à la formulation du XIème FED au Togo;Directorate-General for Development and Cooperation — EuropeAid;A Envelope - programmable aid (02.10.10.01);European Development Fund (10th EDF);Public procurement and other expenditure
AID.CTR.304271.01.1;2012;POHL CONSULTING & ASSOCIATES GMBH*;yes;DE813876999;TORSTRASSE 92;BERLIN;10119;Germany;;;Ivory Coast;Operational;;180.125,00 €;PEMFAR II;Directorate-General for Development and Cooperation — EuropeAid;A Envelope - programmable aid (02.10.10.01);European Development Fund (10th EDF);Public procurement and other expenditure
AID.CTR.287601.01.1;2012;AGENCE EUROPEENNE POUR LE DEVELOPPEMENT ET LA SANTE SCRL AEDES*;yes;BE0450913705;RUE JOSEPH II 34;BRUXELLES;1000;Belgium;;;Mozambique;Operational;;180.060,00 €;REVISÃO DOS MÓDULOS DOS CURSOS DE CURTA DURAÇÃO NO IMEPS E PRODUÇÃO DOS RESPECTIVOS MANUAIS;Directorate-General for Development and Cooperation — EuropeAid;A Envelope - programmable aid (02.10.10.01);European Development Fund (10th EDF);Public procurement and other expenditure
AID.CTR.306594.01.1;2012;APPLICATION EUROPEENNE DE TECHNOLOGIES ET DE SERVICES SARL*AETS;yes;FR77409706520;AVENUE ANDRE MARIE AMPERE 17;LONS;64140;France;;;"General / administrative budget / interests	Allgemeines";Operational;;179.960,00 €;Study on the vulnerability and resilience factors of tax revenues in developing countries;Directorate-General for Development and Cooperation — EuropeAid;Support expenditure (05.10.10);European Development Fund (10th EDF);Public procurement and other expenditure
AID.CTR.280681.01.1;2012;AGENCE EUROPEENNE POUR LE DEVELOPPEMENT ET LA SANTE SCRL AEDES*;yes;BE0450913705;RUE JOSEPH II 34;BRUXELLES;1000;Belgium;;;Zambia;Operational;;179.798,00 €;EU MDG INITIATIVE;Directorate-General for Development and Cooperation — EuropeAid;A Envelope - programmable aid (02.10.10.01);European Development Fund (10th EDF);Public procurement and other expenditure
AID.CTR.301186.01.1;2012;SOFRECO-SOCIETE FRANCAISE DE REALISATION D'ETUDES ET DE CONSEIL SA*;yes;FR56309600088;BOULEVARD VICTOR HUGO 92-98;CLICHY;92115;France;;;Madagascar;Operational;;179.480,00 €;assistant technique et conseil auprès de la direction de la CENI-T dans le cadre du processus électoral 2013 à Madagascar;Directorate-General for Development and Cooperation — EuropeAid;A Envelope - programmable aid (02.10.10.01);European Development Fund (10th EDF);Public procurement and other expenditure
AID.CTR.284508.01.1;2012;AGENCE EUROPEENNE POUR LE DEVELOPPEMENT ET LA SANTE SCRL AEDES*;yes;BE0450913705;RUE JOSEPH II 34;BRUXELLES;1000;Belgium;;;Guinea (Conakry);Operational;;179.296,00 €;Appui Technique Stratégique au Ministère de la Santé et l''Hygiène Publique;Directorate-General for Development and Cooperation — EuropeAid;B Envelope - Non-programmable aid - Devco (02.10.21.10);European Development Fund (10th EDF);Public procurement and other expenditure
AID.CTR.281411.01.1;2012;IBF INTERNATIONAL CONSULTING SA*;yes;BE0417827795;AVENUE LOUISE 209A;BRUXELLES;1050;Belgium;;;South Sudan;Operational;;179.042,00 €;Technical Assistance for the preparation and the follow up of the Health support programmes in South Sudan;Directorate-General for Development and Cooperation — EuropeAid;Macroeconomic support (02.10.10.10);European Development Fund (9th EDF);Public procurement and other expenditure
AID.CTR.281494.01.1;2012;APPLICATION EUROPEENNE DE TECHNOLOGIES ET DE SERVICES SARL*AETS;yes;FR77409706520;AVENUE ANDRE MARIE AMPERE 17;LONS;64140;France;;;Comoros;Operational;;178.940,00 €;Ellaboration d''une strategie sectorielle nationale Energie aux Comores;Directorate-General for Development and Cooperation — EuropeAid;A Envelope - programmable aid (02.10.10.01);European Development Fund (10th EDF);Public procurement and other expenditure
AID.CTR.299667.01.1;2012;DFC SA*;yes;ESA78398906;BALMES 89-91 7/5;BARCELONA;08008;Spain;;;Cameroon;Operational;;178.811,00 €;Elaboration de la stratégie du MINEPAT;Directorate-General for Development and Cooperation — EuropeAid;A Envelope - programmable aid (02.10.10.01);European Development Fund (10th EDF);Public procurement and other expenditure
AID.CTR.284547.01.1;2012;PARTICIP GMBH CONSULTANTS FUR ENTWICKLUNG UND UMWELT*;yes;DE142927394;MERZHAUSER STR 183;FREIBURG;79100;Germany;;;Kenya;Operational;;177.904,00 €;Strategic Environmental Assessment (SEA) of the implementation of the National Sugar Adaptation Strategy for Kenya;Directorate-General for Development and Cooperation — EuropeAid;A Envelope - programmable aid (02.10.10.01);European Development Fund (10th EDF);Public procurement and other expenditure
AID.CTR.299031.01.1;2012;LDK CONSULTANTS ENGINEERS & PLANNERS SA*;yes;EL094061957;OFF THIVAIDOS STREET 21;NEA KIFISSIA;14564;Greece;;;Uganda;Operational;;177.860,51 €;Provision of Logistics Support to the Trans-African Network round table, Kampala Uganda due in December 2012;Directorate-General for Development and Cooperation — EuropeAid;A Envelope - programmable aid (02.10.10.01);European Development Fund (10th EDF);Public procurement and other expenditure
AID.CTR.305739.01.1;2012;IBF INTERNATIONAL CONSULTING SA*;yes;BE0417827795;AVENUE LOUISE 209A;BRUXELLES;1050;Belgium;;;ACP Countries;Operational;;177.710,00 €;PEFA Framework Enhancement for Better Measurement of Country PFM Systems;Directorate-General for Development and Cooperation — EuropeAid;Support expenditure (05.10.10);European Development Fund (10th EDF);Public procurement and other expenditure
AID.CTR.304103.01.1;2012;ASSOCIES AUDIT ET CONSEIL SA*;yes;FR10343716460;AVENUE DE PARIS 9;VINCENNES;94300;France;;;Central African Republic;Operational;;177.081,00 €;Audit arriérés commerciaux de la République Centrafricaine pour l''année 2011.;Directorate-General for Development and Cooperation — EuropeAid;A Envelope - programmable aid (02.10.10.01);European Development Fund (10th EDF);Public procurement and other expenditure
AID.CTR.308246.01.1;2012;TRANSTEC SA*;yes;BE0425684302;AVENUE DE TYRAS 75;BRUXELLES;1120;Belgium;;;Ivory Coast;Operational;;176.506,00 €;Expert en DDR - soutien à l''ADDR;Directorate-General for Development and Cooperation — EuropeAid;A Envelope - programmable aid (02.10.10.01);European Development Fund (10th EDF);Public procurement and other expenditure
AID.CTR.290675.01.1;2012;BUSINESS AND STRATEGIES IN EUROPE SA*;yes;BE0442745018;RUE DE LA LOI 81A;BRUXELLES;1040;Belgium;;;Caribbean Region;Operational;;176.392,00 €;Institutional Review of the CARIFORUM Directorate;Directorate-General for Development and Cooperation — EuropeAid;Regional indicative programme (02.40.10);European Development Fund (10th EDF);Public procurement and other expenditure
AID.CTR.283801.01.1;2012;EURONET CONSULTING GEIE*;yes;BE0446840101;RUE MONTOYER 39;BRUXELLES;1040;Belgium;;;Swaziland;Operational;;176.276,00 €;Technical Assistance for the Establishment of a Wildlife Section and Policy in the Ministry of Tourism and Environmental Affairs, Swaziland;Directorate-General for Development and Cooperation — EuropeAid;A Envelope - programmable aid (02.10.10.01);European Development Fund (10th EDF);Public procurement and other expenditure
