Commitment position key;Year;Name of beneficiary;Coordinator;VAT Number of beneficiary;Address;City;Postal code;Country / Territory;Amount;Geographical Zone;Expense Type;Co-financing rate;Total amount;Subject of grant or contract;Responsible Department;Budget line name and number;Action Type;Funding Type
AID.CTR.246148.01.1;2010;ASSOCIATION MEDECINS DU MONDE*FRANCE;yes;;RUE MARCADET 62;PARIS;75018;France;;Niger;Operational;100 %;573.500,00 €;ECHO/-WF/EDF/2010/01005 - Appui à 3 districts sanitaires de la région de Tahoua au Niger dans la prévention et la prise en charge de la malnutrition;Directorate-General for Development and Cooperation ? EuropeAid;B Envelope - Non-programmable aid - Echo (02.10.21.20);European Development Fund (10th EDF);Grant
AID.CTR.253491.01.1;2010;BCD TRAVEL BELGIUM NV*;yes;;STATIONSTRAAT 100;MECHELEN;2800;Belgium;;Overseas countries and territories ;Operational;N.A.;551.992,00 €;Organisation of the OCT-EU Forum in New Caledonia (28 February - 4 March 2011);Directorate-General for Development and Cooperation ? EuropeAid;Technical asssitance / studies OCT (03.10.10);European Development Fund (10th EDF);Public procurement and other expenditure
AID.CTR.251432.01.1;2010;REPUBLIQUE DU NIGER*REPUBLIC OF NIGER;yes;;-;-;;Niger;;Niger;Operational;100 %;537.930,30 €;Appui au démarrage des activités de la Cour des comptes du Niger;Directorate-General for Development and Cooperation ? EuropeAid;A Envelope - programmable aid (02.10.10.01);European Development Fund (10th EDF);Grant
AID.CTR.248936.01.2;2010;ASSOCIES AUDIT ET CONSEIL SA*;yes;;AVENUE DE PARIS 9;VINCENNES;94300;France;;Burkina Faso;Operational;N.A.;514.700,00 €;Audit système et verification de dépenses des DPs gerés par l''ON au Burkina Faso;Directorate-General for Development and Cooperation ? EuropeAid;A Envelope - programmable aid (02.10.10.01);European Development Fund (10th EDF);Public procurement and other expenditure
AID.CTR.252550.01.1;2010;ASSOCIATION MEDECINS DU MONDE*FRANCE;yes;;RUE MARCADET 62;PARIS;75018;France;;Liberia;Operational;49.82 %;510.000,00 €;ECHO/LBR/EDF/2010/01004;Directorate-General for Development and Cooperation ? EuropeAid;B Envelope - Non-programmable aid - Echo (02.10.21.20);European Development Fund (10th EDF);Grant
AID.CTR.243658.01.1;2010;UNITED NATIONS DEVELOPMENT PROGRAMME*UNDP PROGRAMME DES NATIONS UNIESPOUR LE DEVELOPPEMENT PNUD;yes;;UNITED NATIONS PLAZA 1;NEW YORK;10017;United States;;Kenya;Operational;6.58 %;500.000,00 €;Support to Electoral Reform and the Constitutional Referendum Process in Kenya;Directorate-General for Development and Cooperation ? EuropeAid;A Envelope - programmable aid (02.10.10.01);European Development Fund (10th EDF);Grant
AID.CTR.246309.01.1;2010;CHRISTIAN AID LBG*;yes;;LOWER MARSH 35-41;LONDON;SE1 7RL;United Kingdom;;Burkina Faso;Operational;90.74 %;500.000,00 €;ECHO/-WF/EDF/2010/01009 - Projet d''atténuation de la crise alimentaire au Sahel (PCAS), Burkina Faso;Directorate-General for Development and Cooperation ? EuropeAid;B Envelope - Non-programmable aid - Echo (02.10.21.20);European Development Fund (10th EDF);Grant
AID.CTR.246925.01.1;2010;MEDICOS SIN FRONTERAS ESPANA*;yes;;CALLE NOU DE LA RAMBLA 26;BARCELONA;08001;Spain;;Malawi;Operational;62.59 %;500.000,00 €;ECHO/MWI/EDF/2010/01002 - Emergency response to the measles epidemic in Malawi;Directorate-General for Development and Cooperation ? EuropeAid;B Envelope - Non-programmable aid - Echo (02.10.21.20);European Development Fund (10th EDF);Grant
AID.CTR.252606.01.1;2010;ASSOCIATION MEDECINS SANS FRONTIERES*FRANCE;yes;;RUE SAINT-SABIN 8;PARIS;75011;France;;Central Africa Region (EDF 10);Operational;33.43 %;500.000,00 €;ECHO/-CF/EDF/2010/01009;Directorate-General for Development and Cooperation ? EuropeAid;B Envelope - Non-programmable aid - Echo (02.10.21.20);European Development Fund (10th EDF);Grant
AID.CTR.254849.01.1;2010;CROIX ROUGE FRANCAISE ASSOCIATION*;yes;;RUE DIDOT 98;PARIS 14;75694;France;;Mauritania;Operational;88.95 %;500.000,00 €;"Initiative de lutte contre la pauvreté et la prévalence de la malnutrition au travers du transfert d?argent aux populations vulnérables de la Wilaya du Gorgol en République Islamique de Mauritanie
";Directorate-General for Development and Cooperation ? EuropeAid;B Envelope - Non-programmable aid - Devco (02.10.21.10);European Development Fund (10th EDF);Grant
AID.CTR.254854.01.1;2010;WORLD FOOD PROGRAMME*WFP PROGRAMMEALIMENTAIRE MONDIAL PAM;yes;;VIA CESARE GIULIO VIOLA 68/70;ROMA;00148;Italy;;Mauritania;Operational;87.88 %;500.000,00 €;"Programme pilote de cash transfert pour lutter contre la pauvreté à court et moyen terme et stabiliser la prévalence de la malnutrition à court terme dans la Région du Gorgol, départements de Kaedi et Maghama en République Islamique de Mauritanie
";Directorate-General for Development and Cooperation ? EuropeAid;B Envelope - Non-programmable aid - Devco (02.10.21.10);European Development Fund (10th EDF);Grant
AID.CTR.259047.01.1;2010;TERRA NUOVA CENTRO PER IL VOLONTARIATO ONLUS*;yes;;VIA GRAN BRETAGNA 18;ROMA;00196;Italy;;Somalia;Operational;90 %;500.000,00 €;Sheikh Regional Technical Veterinary School and Reference Centre (STVS IV): Transformation from project status to Regional Institution;Directorate-General for Development and Cooperation ? EuropeAid;A Envelope - programmable aid (02.10.10.01);European Development Fund (10th EDF);Grant
AID.CTR.254848.01.1;2010;GROUPE DE RECHERCHE ET D'ECHANGES TECHNOLOGIQUES*GRET;yes;;AVENUE DE LA BELLE GABRIELLE 45BIS;NOGENT SUR MARNE;94130;France;;Mauritania;Operational;90 %;499.979,00 €;Nutridev Mauritanie - Test d''un dispositif de tranfert économique et social pour l''amélioration des pratiques de nutrition et de soins des femmes et des jeuns enfants et la sécurisation des économies des ménages vulnérables.;Directorate-General for Development and Cooperation ? EuropeAid;B Envelope - Non-programmable aid - Devco (02.10.21.10);European Development Fund (10th EDF);Grant
AID.CTR.245903.01.1;2010;CROIX ROUGE FRANCAISE ASSOCIATION*;yes;;RUE DIDOT 98;PARIS 14;75694;France;;Congo (Brazzaville);Operational;100 %;499.966,00 €;ECHO/-CF/EDF/2010/01002;Directorate-General for Development and Cooperation ? EuropeAid;B Envelope - Non-programmable aid - Echo (02.10.21.20);European Development Fund (10th EDF);Grant
AID.CTR.246130.01.2;2010;AGENCE D'AIDE A LA COOPERATION TECHNIQUE ET AU DEVELOPPEMENT*FRANCEAGENCY FOR TECHNICAL COOPERATIONAND DEVELOPMENT;yes;;RUE GODOT DE MAUROY 33;PARIS;75009;France;;Congo (Brazzaville);Operational;100 %;470.000,00 €;ECHO/-CF/EDF/2010/01003 - Amélioration de l''accès à l''hygiène et à l''eau potable des populations réfugiées et autochtones dans le département de la Likouala, République du Congo;Directorate-General for Development and Cooperation ? EuropeAid;B Envelope - Non-programmable aid - Echo (02.10.21.20);European Development Fund (10th EDF);Grant
AID.CTR.248526.01.1;2010;INTERNATIONAL RESCUE COMMITTEE UK*;yes;;GOWER STREET 11;LONDON;WC1E 6HB;United Kingdom;;Liberia;Operational;100 %;470.000,00 €;ECHO/LBR/EDF/2010/01001;Directorate-General for Development and Cooperation ? EuropeAid;B Envelope - Non-programmable aid - Echo (02.10.21.20);European Development Fund (10th EDF);Grant
AID.CTR.240774.01.1;2010;UNITED NATIONS OFFICE FOR PROJECT SERVICES*UNOPS BUREAU DES NATIONS UNIES POUR LES SERVICES D'APPUI AUX PROJETS;yes;;MIDTERMOLEN 3;KOBENHAVN;2100;Denmark;;Somalia;Operational;100 %;456.577,00 €;EU Support to TFG Embassy in Brussels;Directorate-General for Development and Cooperation ? EuropeAid;A Envelope - programmable aid (02.10.10.01);European Development Fund (10th EDF);Grant
AID.CTR.257022.01.1;2010;CARE FRANCE ASSOCIATION*;yes;;RUE ARCHEREAU 71;PARIS;75019;France;;Benin;Operational;90.78 %;455.000,00 €;ECHO/BEN/EDF/2010/01001;Directorate-General for Development and Cooperation ? EuropeAid;B Envelope - Non-programmable aid - Echo (02.10.21.20);European Development Fund (10th EDF);Grant
AID.CTR.246144.01.1;2010;FUNDACION INTERMON OXFAM*ESPAGNE;yes;;CALLE ROGER DE LLURIA 15;BARCELONA;08010;Spain;;Burkina Faso;Operational;100 %;450.000,00 €;ECHO/-WF/EDF/2010/01010 - Réponse d''urgence à la crise alimentaire 2010 dans la région du Sahel au Burkina Faso;Directorate-General for Development and Cooperation ? EuropeAid;B Envelope - Non-programmable aid - Echo (02.10.21.20);European Development Fund (10th EDF);Grant
AID.CTR.254866.01.1;2010;FUNDACION ACCION CONTRA EL HAMBRE*ACTION CONTRE LA FAIM-ESPAGNE;yes;;CALLE CARACAS 6-1;MADRID;28010;Spain;;Mauritania;Operational;90 %;450.000,00 €;Projet de lutte contre la malnutrition et de recherche-action en filets de sécurité en Mauritanie.;Directorate-General for Development and Cooperation ? EuropeAid;B Envelope - Non-programmable aid - Devco (02.10.21.10);European Development Fund (10th EDF);Grant
AID.CTR.235081.01.1;2010;ASBL MEDECINS SANS FRONTIERES*VZW ARTSEN ZONDER GRENZEN;yes;;RUE DUPRE 94;BRUXELLES;1090;Belgium;;West Africa Region;Operational;100 %;400.171,86 €;ECHO/-WF/EDF/2009/01003;Directorate-General for Development and Cooperation ? EuropeAid;B Envelope - Non-programmable aid - Echo (02.10.21.20);European Development Fund (10th EDF);Grant
AID.CTR.254998.01.1;2010;CHRISTIAN AID LBG*;yes;;LOWER MARSH 35-41;LONDON;SE1 7RL;United Kingdom;;Burkina Faso;Operational;90.52 %;400.000,00 €;ECHO/BFA/EDF/2010/01003;Directorate-General for Development and Cooperation ? EuropeAid;B Envelope - Non-programmable aid - Echo (02.10.21.20);European Development Fund (10th EDF);Grant
AID.CTR.248659.01.1;2010;Natural person;yes;;*****;*****;******;United Kingdom;;Somalia;Operational;N.A.;384.000,00 €;CONFIDENTIAL;Directorate-General for Development and Cooperation ? EuropeAid;A Envelope - programmable aid (02.10.10.01);European Development Fund (10th EDF);Public procurement and other expenditure
AID.CTR.254961.01.1;2010;COMITE D'AIDE MEDICALE ASSOCIATION*CAM;yes;;RUE EMILE ZOLA 41;MONTREUIL SOUS BOIS;93100;France;;Central Africa Region;Operational;100 %;350.000,00 €;ECHO/-CF/EDF/2010/01010;Directorate-General for Development and Cooperation ? EuropeAid;B Envelope - Non-programmable aid - Echo (02.10.21.20);European Development Fund (10th EDF);Grant
AID.CTR.247722.01.1;2010;AGENCE D'AIDE A LA COOPERATION TECHNIQUE ET AU DEVELOPPEMENT*FRANCEAGENCY FOR TECHNICAL COOPERATIONAND DEVELOPMENT;yes;;RUE GODOT DE MAUROY 33;PARIS;75009;France;;Central African Republic;Operational;100 %;327.522,70 €;ECHO/-CF/EDF/2010/01006 - Réponse aux besoins urgents en eau et assainissement des personnes déplacées internes dans la préfecture du Haut-Mbomou et prévention du risque de tensions entre population hôte et déplacée, République Centrafricaine;Directorate-General for Development and Cooperation ? EuropeAid;B Envelope - Non-programmable aid - Echo (02.10.21.20);European Development Fund (10th EDF);Grant
AID.CTR.238007.01.1;2010;INTERNATIONAL PEACEBUILDING ALLIANCE (INTERPEACE) ASSOCIATION*;yes;;CHEMIN DE BALAXERT 7-9;CHATELAINE GENEVA;1219;Switzerland;;Somalia;Operational;100 %;269.177,00 €;Training and Deploying of Civil Society Mediation Teams in support of Somaliland''s Election Process;Directorate-General for Development and Cooperation ? EuropeAid;A Envelope - programmable aid (02.10.10.01);European Development Fund (10th EDF);Grant
AID.CTR.236488.01.1;2010;AGRICONSULTING EUROPE SA*AESA;yes;;AVENUE DE TERVUREN 36/21;BRUXELLES;1040;Belgium;;ACP Countries;Operational;N.A.;227.132,00 €;ADMINISTRATIVE ASSISTANTS AND ASSESSORS TO ASSIST IN THE EVALUATION OF PROJECT PROPOSALS RECEIVED WITHIN THE CALL FOR PROPOSALS ''''WATER, SANITATION AND HYGIENE PROMOTION FOR THE MILLENNIUM DEVELOPMENT GOALS''''(Europeaid/129509/C/ACT/Multi);Directorate-General for Development and Cooperation ? EuropeAid;Various intra ACP, other programmed sectors (04.20.65);European Development Fund (10th EDF);Public procurement and other expenditure
AID.CTR.235138.01.1;2010;POLICY FORUM LIMITED BY GUARANTEE*PF;yes;;KIKO AVENUE 270 OFF BAGAMOYO ROAD;DAR ES SALAAM;;Tanzania;;Tanzania;Operational;N.A.;210.000,00 €;Support to the Engagement of the CSOs in the Mkukuta Review Process;Directorate-General for Development and Cooperation ? EuropeAid;A Envelope - programmable aid (02.10.10.01);European Development Fund (10th EDF);Public procurement and other expenditure
AID.CTR.254520.01.1;2010;ORGANISATION DE LA CEPGL POUR L'ENERGIE DES PAYS DES GRANDS LACS*EGL;yes;;BOULEVARD DE L UPRONA 3812-3817;BUJUMBURA;;Burundi;;Intra ACP Allocations;Operational;50 %;200.000,00 €;Appui aux activités de l''Organisation de la CEPGL pour l''Energie des Grands Lacs(EGL);Directorate-General for Development and Cooperation ? EuropeAid;Regional indicative programme (02.40.10);European Development Fund (10th EDF);Grant
AID.CTR.241856.01.1;2010;AGRICONSULTING EUROPE SA*AESA;yes;;AVENUE DE TERVUREN 36/21;BRUXELLES;1040;Belgium;;Central Africa Region (EDF 10);Operational;N.A.;199.999,00 €;Formulation du PIR 10ème FED pour l''appui à la convergence macroéconomique, au renforcement de la compétitivité et à la diversification des secteurs productifs.;Directorate-General for Development and Cooperation ? EuropeAid;Regional indicative programme (02.40.10);European Development Fund (10th EDF);Public procurement and other expenditure
AID.CTR.231877.01.1;2010;PLANET AE*PLANET PROVISION OF CONSULTANCY SERVICES;yes;;LOUISE RIENCOURT 64 APOLLON TOWER;ATHINA;115 23;Greece;;Dominican Republic;Operational;N.A.;199.946,00 €;ETUDE DE FAISABILITE DES INFRASTRUCTURES DU CORRIDOR NORD;Directorate-General for Development and Cooperation ? EuropeAid;A Envelope - programmable aid (02.10.10.01);European Development Fund (10th EDF);Public procurement and other expenditure
AID.CTR.256224.01.1;2010;THE SAVE THE CHILDREN FUND LBG*;yes;;ST JOHN S LANE 1;LONDON;EC1M 4AR;United Kingdom;;Somalia;Operational;N.A.;199.900,00 €;Exploration study for a structured approach towards establishing a Development of a Vocational Qualification Framework (VQF), Somalia. ;Directorate-General for Development and Cooperation ? EuropeAid;A Envelope - programmable aid (02.10.10.01);European Development Fund (10th EDF);Public procurement and other expenditure
AID.CTR.247073.01.1;2010;INVESTISSEMENT DEVELOPPEMENT CONSEIL SA*;yes;;RUE DU PORT 15/27;NANTERRE;92022;France;;Caribbean Region;Operational;N.A.;199.882,00 €;Institutional Capacity Assessments of proposed implementing institutions under the EPA implementation and social development PIFs of the 10th EDF-RIP;Directorate-General for Development and Cooperation ? EuropeAid;Regional indicative programme (02.40.10);European Development Fund (10th EDF);Public procurement and other expenditure
AID.CTR.243970.01.1;2010;RESOURCES AND LOGISTICS SARL*;yes;;RUE PIERRE HARET 2;PARIS 09;75009;France;;Burkina Faso;Operational;N.A.;199.860,00 €;Identification détaillée d''un programme solaire au Burkina Faso;Directorate-General for Development and Cooperation ? EuropeAid;A Envelope - programmable aid (02.10.10.01);European Development Fund (10th EDF);Public procurement and other expenditure
AID.CTR.226403.01.1;2010;IBF INTERNATIONAL CONSULTING SA*;yes;;AVENUE LOUISE 209A;BRUXELLES;1050;Belgium;;Swaziland;Operational;N.A.;199.446,00 €;Technical Assistance to Develop a Dedicated NAO unit in Swaziland;Directorate-General for Development and Cooperation ? EuropeAid;A Envelope - programmable aid (02.10.10.01);European Development Fund (10th EDF);Public procurement and other expenditure
AID.CTR.226447.01.1;2010;HTSPE LIMITED*;yes;;BOUNDARY WAY THAMESFIELD HOUSE;HEMEL HEMPSTEAD;HP2 7SR;United Kingdom;;Lesotho;Operational;N.A.;199.390,00 €;OVC Situation Analysis Part II - Data Collection and Analysis;Directorate-General for Development and Cooperation ? EuropeAid;A Envelope - programmable aid (02.10.10.01);European Development Fund (10th EDF);Public procurement and other expenditure
AID.CTR.256621.01.1;2010;TRANSTEC SA*;yes;;AVENUE DE TYRAS 75;BRUXELLES;1120;Belgium;;Haiti;Operational;N.A.;199.200,00 €;Technical Assistances to second positions within the Interim Haitian Reconstruction Commission (IHRC);Directorate-General for Development and Cooperation ? EuropeAid;A Envelope - programmable aid (02.10.10.01);European Development Fund (10th EDF);Public procurement and other expenditure
AID.CTR.250008.01.1;2010;PLANET AE*PLANET PROVISION OF CONSULTANCY SERVICES;yes;;LOUISE RIENCOURT 64 APOLLON TOWER;ATHINA;115 23;Greece;;Sao Tome and Principe;Operational;N.A.;198.102,00 €;ASSISTANCE TECHNIQUE A L''UNITE DE PLANIFICATION ET DU SUIVI DES TRANSPORTS A SAO TOME ET PRINCIPE;Directorate-General for Development and Cooperation ? EuropeAid;A Envelope - programmable aid (02.10.10.01);European Development Fund (10th EDF);Public procurement and other expenditure
AID.CTR.225314.01.1;2010;EUROPEAN CONSULTANTS ORGANISATION SPRL*ECO 3 ECO;yes;;CHAUSSEE DE LA HULPE 150;BRUXELLES;1170;Belgium;;Benin;Operational;N.A.;197.952,00 €;Assistance technique pour l''élaboration de l''Agenda Spatial de la République du Bénin;Directorate-General for Development and Cooperation ? EuropeAid;A Envelope - programmable aid (02.10.10.01);European Development Fund (10th EDF);Public procurement and other expenditure
AID.CTR.247808.01.1;2010;DFC SA*;yes;;BALMES 89-91 7/5;BARCELONA;08008;Spain;;Intra ACP Allocations;Operational;N.A.;196.216,00 €;APF Peace Support Operations Capacity Building support to AUC;Directorate-General for Development and Cooperation ? EuropeAid;Intra ACP - Peace Facility (04.20.50);European Development Fund (10th EDF);Public procurement and other expenditure
AID.CTR.248085.01.1;2010;COWI AS*KAMPSAX GEODAN GEOPLUS KAMPSAX DATA GEOPLAN GEOMASTERS GEODATA AGRINOVA INTERNATIONAL KAMPSAX INTERNATIONAL KAMPSAX TEKNIK;yes;;PARALLELVEJ 2;KONGENS LYNGBY;2800;Denmark;;Senegal;Operational;N.A.;194.940,00 €;Audit du fichier électoral;Directorate-General for Development and Cooperation ? EuropeAid;A Envelope - programmable aid (02.10.10.01);European Development Fund (10th EDF);Public procurement and other expenditure
AID.CTR.237838.01.1;2010;ACE INTERNATIONAL CONSULTANTS SL*;yes;;CALLE SAGUNTO 17;MADRID;28010;Spain;;Benin;Operational;N.A.;193.936,00 €;Identification et formulation d''un projet d''appui au développement du secteur privé au Bénin ;Directorate-General for Development and Cooperation ? EuropeAid;A Envelope - programmable aid (02.10.10.01);European Development Fund (10th EDF);Public procurement and other expenditure
AID.CTR.231176.01.1;2010;ACE INTERNATIONAL CONSULTANTS SL*;yes;;CALLE SAGUNTO 17;MADRID;28010;Spain;;Timor Leste;Operational;N.A.;193.720,00 €;Procurement Policy Adviser for the Office of the Vice Prime Minister;Directorate-General for Development and Cooperation ? EuropeAid;A Envelope - programmable aid (02.10.10.01);European Development Fund (10th EDF);Public procurement and other expenditure
AID.CTR.241928.01.1;2010;DFC SA*;yes;;BALMES 89-91 7/5;BARCELONA;08008;Spain;;Lesotho;Operational;N.A.;193.551,00 €;Consultancy to assist Ministry of Finance and Development Planning Lesotho in the context of 10th EDF Budget Support Programme ;Directorate-General for Development and Cooperation ? EuropeAid;A Envelope - programmable aid (02.10.10.01);European Development Fund (10th EDF);Public procurement and other expenditure
AID.CTR.244163.01.1;2010;EUROPEAN CONSULTANTS ORGANISATION SPRL*ECO 3 ECO;yes;;CHAUSSEE DE LA HULPE 150;BRUXELLES;1170;Belgium;;Kenya;Operational;N.A.;192.750,00 €;Recruitment of Short Term TA to Support the NAO,Ministry of Finance (Treasury), Kenya;Directorate-General for Development and Cooperation ? EuropeAid;A Envelope - programmable aid (02.10.10.01);European Development Fund (10th EDF);Public procurement and other expenditure
AID.CTR.231423.01.1;2010;AIDE A LA DECISION ECONOMIQUE SA*;yes;;RUE DE CLAIRVAUX 40/101;LOUVAIN LA NEUVE;1348;Belgium;;Cameroon;Operational;N.A.;190.600,00 €;Assistance à la conception et pour la réalisation d''un système informatisé de suivi-évaluation du plan de réforme sur les Finances Publiques;Directorate-General for Development and Cooperation ? EuropeAid;A Envelope - programmable aid (02.10.10.01);European Development Fund (10th EDF);Public procurement and other expenditure
AID.CTR.244610.01.1;2010;OVE ARUP & PARTNERS INTERNATIONAL LTD*;yes;;FITZROY STREET 13;LONDON;W1T 4BQ;United Kingdom;;Comoros;Operational;N.A.;190.564,00 €;L''ÉTUDE DE FORMULATION (FAISABILITÉ ET ÉTUDE TECHNIQUE DÉTAILLÉE) DU PROGRAMME D?ENTRETIEN ROUTIER AUX COMORES  ;Directorate-General for Development and Cooperation ? EuropeAid;A Envelope - programmable aid (02.10.10.01);European Development Fund (10th EDF);Public procurement and other expenditure
AID.CTR.232173.01.1;2010;DFC SA*;yes;;BALMES 89-91 7/5;BARCELONA;08008;Spain;;Burundi;Operational;N.A.;188.520,00 €;Assistance technique à moyen terme spécialisée en finances publiques auprès du bureau permanent SIGEFI au MdF du Burundi;Directorate-General for Development and Cooperation ? EuropeAid;A Envelope - programmable aid (02.10.10.01);European Development Fund (10th EDF);Public procurement and other expenditure
AID.CTR.239477.01.1;2010;EUROPEAN CONSULTANTS ORGANISATION SPRL*ECO 3 ECO;yes;;CHAUSSEE DE LA HULPE 150;BRUXELLES;1170;Belgium;;Comoros;Operational;N.A.;186.529,00 €;Assistant Technique Principal - APLACO;Directorate-General for Development and Cooperation ? EuropeAid;A Envelope - programmable aid (02.10.10.01);European Development Fund (10th EDF);Public procurement and other expenditure
AID.CTR.240726.01.1;2010;ECORYS NEDERLAND BV*;yes;;WATERMANWEG 44;ROTTERDAM;3067 GG;Netherlands;;Cameroon;Operational;N.A.;186.416,00 €;Mise en ?uvre de la stratégie et du plan de communication et sensibilisation sur la réforme des finances publiques au Cameroun;Directorate-General for Development and Cooperation ? EuropeAid;A Envelope - programmable aid (02.10.10.01);European Development Fund (10th EDF);Public procurement and other expenditure
AID.CTR.245642.01.1;2010;SOFRECO-SOCIETE FRANCAISE DE REALISATION D'ETUDES ET DE CONSEIL SA*;yes;;BOULEVARD VICTOR HUGO 92-98;CLICHY;92115;France;;Senegal;Operational;N.A.;185.550,00 €;Mission d''appui aux réformes foncières;Directorate-General for Development and Cooperation ? EuropeAid;A Envelope - programmable aid (02.10.10.01);European Development Fund (10th EDF);Public procurement and other expenditure
AID.CTR.249092.01.1;2010;CFBT EDUCATION TRUST LBG*;yes;;QUEENS ROAD 60;READING;RG1 4BS;United Kingdom;;Mali;Operational;N.A.;184.787,00 €;Assistance technique auprès de l''Unité de gestion intégrée du PADESC ( UGIP);Directorate-General for Development and Cooperation ? EuropeAid;A Envelope - programmable aid (02.10.10.01);European Development Fund (10th EDF);Public procurement and other expenditure
AID.CTR.241255.01.1;2010;PARTICIP GMBH CONSULTANTS FUR ENTWICKLUNG UND UMWELT*;yes;;MERZHAUSER STR 183;FREIBURG;79100;Germany;;Sierra Leone;Operational;N.A.;184.081,00 €;Freetown Development Plan: Preparation of a Resettlement Plan in the Kroo Bay area;Directorate-General for Development and Cooperation ? EuropeAid;A Envelope - programmable aid (02.10.10.01);European Development Fund (10th EDF);Public procurement and other expenditure
AID.CTR.241923.01.1;2010;DFC SA*;yes;;BALMES 89-91 7/5;BARCELONA;08008;Spain;;Vanuatu;Operational;N.A.;183.802,00 €;ST Technical Assistance to the Office of the Auditor General in Vanuatu;Directorate-General for Development and Cooperation ? EuropeAid;A Envelope - programmable aid (02.10.10.01);European Development Fund (10th EDF);Public procurement and other expenditure
AID.CTR.230002.01.1;2010;STTE CONSORTIUM SOCIETE MOMENTANEE*STDE;yes;;GULLEDELLE 92;BRUXELLES;1200;Belgium;;Ivory Coast;Operational;N.A.;183.700,00 €;Missions de contrôle technique régulières des projets dans le secteur de l''eau et de l''assainissement financés par le Fonds européen de développement en Côte d''Ivoire;Directorate-General for Development and Cooperation ? EuropeAid;A Envelope - programmable aid (02.10.10.01);European Development Fund (10th EDF);Public procurement and other expenditure
AID.CTR.240801.01.1;2010;POHL CONSULTING & ASSOCIATES GMBH*;yes;;TORSTRASSE 92;BERLIN;10119;Germany;;Benin;Operational;N.A.;183.674,00 €;Identification et Formulation d''un projet de l?Union Européenne d?Appui Budgétaire Général visant à soutenir la stratégie de croissance et de réduction de la pauvreté au Bénin, durant la période 2012-2014, dans le cadre du 10ème FED;Directorate-General for Development and Cooperation ? EuropeAid;A Envelope - programmable aid (02.10.10.01);European Development Fund (10th EDF);Public procurement and other expenditure
AID.CTR.245163.01.1;2010;AGRICONSULTING EUROPE SA*AESA;yes;;AVENUE DE TERVUREN 36/21;BRUXELLES;1040;Belgium;;Central Africa Region (EDF 10);Operational;N.A.;183.139,00 €;Formulation PIR 10ème FED IEC : marché commun, commerce et accompagnement APE;Directorate-General for Development and Cooperation ? EuropeAid;Regional indicative programme (02.40.10);European Development Fund (10th EDF);Public procurement and other expenditure
AID.CTR.246370.01.1;2010;TRANSTEC SA*;yes;;AVENUE DE TYRAS 75;BRUXELLES;1120;Belgium;;Intra ACP Allocations;Operational;N.A.;183.130,00 €;APF Capacity Building - Reinforcement of the Programme Management Unit;Directorate-General for Development and Cooperation ? EuropeAid;Intra ACP - Peace Facility (04.20.50);European Development Fund (10th EDF);Public procurement and other expenditure
AID.CTR.226197.01.1;2010;EUROPEAN CONSULTANTS ORGANISATION SPRL*ECO 3 ECO;yes;;CHAUSSEE DE LA HULPE 150;BRUXELLES;1170;Belgium;;Ivory Coast;Operational;N.A.;182.834,00 €;Etude de faisabilité du programme d?appui à la société civile en Côte d''Ivoire;Directorate-General for Development and Cooperation ? EuropeAid;A Envelope - programmable aid (02.10.10.01);European Development Fund (10th EDF);Public procurement and other expenditure
AID.CTR.251314.01.1;2010;GRONTMIJ AS*GMDK CARL BRO GROUP ANDERSKOUV & THOMSEN AXEL NIELSEN JOHS JORGENSEN ACOUSTICA SKANDINAVISK LYDTEKNIK  MICRO CONSULT DANEDUC;yes;;GRANSKOVEN 8;GLOSTRUP;2600;Denmark;;Zambia;Operational;N.A.;180.120,00 €;Short-term assistance to the Road Development Agency of Zambia in monitoring and evaluating roads projects;Directorate-General for Development and Cooperation ? EuropeAid;A Envelope - programmable aid (02.10.10.01);European Development Fund (10th EDF);Public procurement and other expenditure
AID.CTR.251738.01.1;2010;BUSINESS AND STRATEGIES IN EUROPE SA*;yes;;RUE DE LA LOI 81A;BRUXELLES;1040;Belgium;;West Africa Region;Operational;N.A.;180.086,00 €;Preparation of EU Support to ECOWAS Training Centres -Identification Expert Team;Directorate-General for Development and Cooperation ? EuropeAid;Intra ACP - Peace Facility (04.20.50);European Development Fund (10th EDF);Public procurement and other expenditure
AID.CTR.245987.01.1;2010;OVE ARUP & PARTNERS INTERNATIONAL LTD*;yes;;FITZROY STREET 13;LONDON;W1T 4BQ;United Kingdom;;Central African Republic;Operational;N.A.;179.612,00 €;PROGRAMME DE REHABILITATION DES INFRASTRUCTURES DE JUSTICE ET DE POLICE Xème FED (Etudes APS et APD);Directorate-General for Development and Cooperation ? EuropeAid;A Envelope - programmable aid (02.10.10.01);European Development Fund (10th EDF);Public procurement and other expenditure
AID.CTR.245991.01.1;2010;PLANET AE*PLANET PROVISION OF CONSULTANCY SERVICES;yes;;LOUISE RIENCOURT 64 APOLLON TOWER;ATHINA;115 23;Greece;;Central African Republic;Operational;N.A.;179.360,00 €;PROGRAMME DE REHABILITATION/CONSTRUCTION DES INFRASTRUCTURES ADMINISTRATIVES ET ECONOMIQUES ETUDES APS ET APD;Directorate-General for Development and Cooperation ? EuropeAid;A Envelope - programmable aid (02.10.10.01);European Development Fund (10th EDF);Public procurement and other expenditure
