Commitment position key;Year;Name of beneficiary;Coordinator;VAT Number of beneficiary;Address;City;Postal code;Country / Territory;Amount;Geographical Zone;Expense Type;Co-financing rate;Total amount;Subject of grant or contract;Responsible Department;Budget line name and number;Action Type;Funding Type
AID.CTR.263711.01.1;2011;ENVIRONMENTAL FOUNDATION FOR AFRICA SIERRA LEONE*EFA SL;yes;;BEACH ROAD 1 LAKKA;FREETOWN;;Sierra Leone;;Sierra Leone;Operational;75.02 %;1.597.313,00 €;Rural Energy Activating Livelihoods;Directorate-General for Development and Cooperation — EuropeAid;Various intra ACP, other programmed sectors (04.20.65);European Development Fund (10th EDF);Grant
AID.CTR.264206.01.1;2011;ASSOCIAZIONE COMUNITA IMPEGNO SERVIZIO VOLONTARIATO*;yes;;CORSO CHIERI 121/6;TORINO;10132;Italy;;ACP Countries;Operational;75 %;1.583.882,95 €;Projet d''appui à la Maitrise d''Ouvrage Communale pour un accès durable et adéquat à l''eau potable et à l''assainissement dans 5 Provinces du Burkina Faso;Directorate-General for Development and Cooperation — EuropeAid;Various intra ACP, other programmed sectors (04.20.65);European Development Fund (10th EDF);Grant
AID.CTR.232693.01.1;2011;BELIZE ELECTRICITY LIMITED*BEL;yes;BZ54;MILES NORTHERN HIGHWAY 2 1/2;BELIZE CITY;;Belize;;Belize;Operational;75 %;1.581.113,00 €;"Project to Provide Electrification to Marginal and Depressed Rural
and Peri-Urban Communities in Belize from Renewable Energy Sources Through Grid Extensions";Directorate-General for Development and Cooperation — EuropeAid;Various intra ACP, other programmed sectors (04.20.65);European Development Fund (10th EDF);Grant
AID.CTR.262541.01.1;2011;ECHANGES ENERGIE ELECTRIQUE OUEST AFRICAIN*WEST AFRICAN POWER POOL EEEOA WAPP;yes;BJ2917421311960;ZONE DES AMBASSADES PK 6;COTONOU;;Benin;;ACP Countries;Operational;72.12 %;1.541.798,43 €;North Togo from Benin - Rural Electrification;Directorate-General for Development and Cooperation — EuropeAid;Various intra ACP, other programmed sectors (04.20.65);European Development Fund (10th EDF);Grant
AID.CTR.245190.01.1;2011;CARE DANMARK FOND*;yes;DK12921047;NORREBROGADE 68B;KOBENHAVN;2200;Denmark;;Niger;Operational;72.73 %;1.539.397,00 €;"Eau, Assainissement et Fertilisation Ecologique pour la
réalisation des OMD";Directorate-General for Development and Cooperation — EuropeAid;Various intra ACP, other programmed sectors (04.20.65);European Development Fund (10th EDF);Grant
AID.CTR.273747.01.1;2011;ACTION CONTRE LA FAIM*ACF;yes;;RUE NIEPCE 4;PARIS;75014;France;;ACP Countries;Operational;68.5 %;1.526.975,00 €;I nkoue téné ti ngou ti saini mbi ya ni mbi ya ni : Ensemble pour l’eau et l’assainissement durable;Directorate-General for Development and Cooperation — EuropeAid;Various intra ACP, other programmed sectors (04.20.65);European Development Fund (10th EDF);Grant
AID.CTR.231674.01.1;2011;ECONOMIC COMMUNITY OF WEST AFRICANSTATES*ECOWAS;yes;;YAKUBU GOWON 60;ABUJA;.;Nigeria;;West Africa Region;Operational;66.67 %;1.500.000,00 €;Supporting Energy Efficiency for Access in West Africa (SEEA-WA);Directorate-General for Development and Cooperation — EuropeAid;Various intra ACP, other programmed sectors (04.20.65);European Development Fund (10th EDF);Grant
AID.CTR.232318.01.1;2011;OXFAM GB LBG*;yes;GB348454238;JOHN SMITH DRIVE;OXFORD;OX4 2JY;United Kingdom;;Zimbabwe;Operational;75 %;1.500.000,00 €;Rural Sustainable Energy Development in Zimbabwe;Directorate-General for Development and Cooperation — EuropeAid;Various intra ACP, other programmed sectors (04.20.65);European Development Fund (10th EDF);Grant
AID.CTR.267810.01.1;2011;MEDICAL EMERGENCY RELIEF INTERNATIONAL CHARITABLE TRUST*MERLIN;yes;;OLD STREET 207 12TH FLOOR;LONDON;EC1V 9NR;United Kingdom;;Liberia;Operational;75 %;1.500.000,00 €;Support the Ministry of Health and Social Welfare of Liberia in providing Renewable Energy Sources to Rural Primary Health Care Facilities;Directorate-General for Development and Cooperation — EuropeAid;Various intra ACP, other programmed sectors (04.20.65);European Development Fund (10th EDF);Grant
AID.CTR.267844.01.1;2011;RURAL AND RENEWABLE ENERGY AGENCY*RREA;yes;;NEWPORT STREET LEC SUB STATION;MONROVIA;;Liberia;;Liberia;Operational;74.07 %;1.500.000,00 €;Developing and Demonstrating a Rural Energy Strategy and Master Plan for Liberia ;Directorate-General for Development and Cooperation — EuropeAid;Various intra ACP, other programmed sectors (04.20.65);European Development Fund (10th EDF);Grant
AID.CTR.279480.01.1;2011;TUVALU*;no;;-;-;;Tuvalu;;Tuvalu;Operational;N.A.;1.500.000,00 €;V FLEX BUDGET SUPPORT;Directorate-General for Development and Cooperation — EuropeAid;B Envelope - Non-programmable aid - Devco (02.10.21.10);European Development Fund (10th EDF);Public procurement and other expenditure
AID.CTR.280855.01.1;2011;DEUTSCHE GESELLSCHAFT FUR INTERNATIONALE ZUSAMMENARBEIT (GIZ) GMBH*;yes;DE113891176;DAG HAMMARSKJOLD WEG 1-5;ESCHBORN;65760;Germany;;Caribbean Region;Operational;75 %;1.500.000,00 €;Improved quality of life of low-income groups within the OECS Region through promoting improved governance and institutional frameworks to support energy efficiency;Directorate-General for Development and Cooperation — EuropeAid;Various intra ACP, other programmed sectors (04.20.65);European Development Fund (10th EDF);Grant
AID.CTR.231815.01.1;2011;INNOVATION ENERGIE DEVELOPPEMENTSA*IED;yes;FR34345067581;CHEMIN DE LA CHAUDERAIE 2;FRANCHEVILLE;69340;France;;Sub-Saharan Africa;Operational;75 %;1.491.652,00 €;Renforcement du CLUB ER (2011-2013);Directorate-General for Development and Cooperation — EuropeAid;Various intra ACP, other programmed sectors (04.20.65);European Development Fund (10th EDF);Grant
AID.CTR.262660.01.1;2011;ASSOCIATION PREMIERE URGENCE*;yes;;RUE GEORGES 9 BIS;LA GARENNE COLOMBES;92250;France;;ACP Countries;Operational;74.87 %;1.475.000,00 €;Amélioration de l''accès à l''eau potable et aux services d’assainissement et promotion de l’hygiène pour les populations des régions de l’Est et de l’Adamaoua – Cameroun;Directorate-General for Development and Cooperation — EuropeAid;Various intra ACP, other programmed sectors (04.20.65);European Development Fund (10th EDF);Grant
AID.CTR.262120.01.1;2011;CENTRE REGIONAL POUR L'EAU POTABLEET L'ASSAINISSEMENT A FAIBLE COUT CREPA*;yes;;RUE NAABA KIIBA BOULSA 441;OUAGADOUGOU 03;3;Burkina Faso;;Burkina Faso;Operational;90 %;1.459.656,94 €;Projet d’assainissement productif total dans 20 villages du Kourittenga dans le Centre-est, Burkina Faso.;Directorate-General for Development and Cooperation — EuropeAid;A Envelope - programmable aid (02.10.10.01);European Development Fund (10th EDF);Grant
AID.CTR.264221.01.1;2011;TRIANGLE GENERATION HUMANITAIRE ASSOCIATION*TGH;yes;;RUE MONTRIBLOUD 1;LYON CEDEX 9;69265;France;;ACP Countries;Operational;75 %;1.421.250,00 €;Vers un accès pérenne à l''eau potable et un environnement sanitaire amélioré pour les populations vulnérables de la Ouaka, République Centrafricaine;Directorate-General for Development and Cooperation — EuropeAid;Various intra ACP, other programmed sectors (04.20.65);European Development Fund (10th EDF);Grant
AID.CTR.270457.01.1;2011;FUNDACION SUR FUTURO*;yes;DO401514915;AV 27 DE FEBRERO ESQ ABRAHAM;SANTO DOMINGO;10148;Dominican Republic;;ACP Countries;Operational;75 %;1.383.303,69 €;Facilidad Sur Solar;Directorate-General for Development and Cooperation — EuropeAid;Various intra ACP, other programmed sectors (04.20.65);European Development Fund (10th EDF);Grant
AID.CTR.245212.01.2;2011;DANSK RODE KORS*DANISH RED CROSS DRC;yes;DK20700211;BLEGDAMSVEJ 27;KOBENHAVN O;2100;Denmark;;Togo;Operational;75 %;1.359.486,24 €;"Projet de réduction des maladies hydriques dans la Région
des Plateaux au Togo";Directorate-General for Development and Cooperation — EuropeAid;Various intra ACP, other programmed sectors (04.20.65);European Development Fund (10th EDF);Grant
AID.CTR.232367.01.1;2011;PLAN ESTRATEGICO DE DESARROLLO DE LA PROVINCIA ESPAILLAT ASOCIACION*PEDEPE;yes;DO430058343;CALLE CORAZON DE JESUS 54 ALTOS;MOCA;53000;Dominican Republic;;Dominican Republic;Operational;75 %;1.351.681,50 €;DOTACION DE ENERGIA RENOVABLE A COMUNIDADES RURALES DE MOCA;Directorate-General for Development and Cooperation — EuropeAid;Various intra ACP, other programmed sectors (04.20.65);European Development Fund (10th EDF);Grant
AID.CTR.266148.01.1;2011;TRIANGLE GENERATION HUMANITAIRE ASSOCIATION*TGH;yes;;RUE MONTRIBLOUD 1;LYON CEDEX 9;69265;France;;ACP Countries;Operational;75 %;1.344.871,00 €;Towards improved water and sanitation services delivery in rural areas of Timor-Leste;Directorate-General for Development and Cooperation — EuropeAid;Various intra ACP, other programmed sectors (04.20.65);European Development Fund (10th EDF);Grant
AID.CTR.270630.01.1;2011;PLAN INTERNATIONAL UK LIMITED BY GUARANTEE*;yes;GB985617372;CRANWOOD STREET 5 7 FINSGATE;LONDON;EC1V 9LH;United Kingdom;;Timor Leste;Operational;75 %;1.344.871,00 €;Creating a healthy environment for children in rural communities;Directorate-General for Development and Cooperation — EuropeAid;Various intra ACP, other programmed sectors (04.20.65);European Development Fund (10th EDF);Grant
AID.CTR.264502.01.1;2011;CRUZ ROJA ESPANOLA FUNDACION*CROIXROUGE ESPAGNE FONDATION CRE;yes;ESQ2866001G;AVENIDA REINA VICTORIA 26;MADRID;28003;Spain;;ACP Countries;Operational;75 %;1.316.524,00 €;Projet intégral WASH dans le milieu rural du Sahel;Directorate-General for Development and Cooperation — EuropeAid;Various intra ACP, other programmed sectors (04.20.65);European Development Fund (10th EDF);Grant
AID.CTR.264301.01.1;2011;MERCY CORPS SCOTLAND LBG*;yes;;SCIENNES 40;EDINBURGH;EH9 1NJ;United Kingdom;;ACP Countries;Operational;75 %;1.309.787,00 €;Accroitre l’accès à l’eau potable et l’assainissement de base pour la population de la préfecture de la Nana Mambéré;Directorate-General for Development and Cooperation — EuropeAid;Various intra ACP, other programmed sectors (04.20.65);European Development Fund (10th EDF);Grant
AID.CTR.278277.01.1;2011;INTERNATIONAL MEDICAL CORPS UK LBG*IMC;yes;;GOSWELL ROAD 254-258;LONDON;EC1V 7EB;United Kingdom;;Horn of Africa;Operational;85.74 %;1.253.756,00 €;Emergency Nutrition and Sanitation and Hygiene Promotion Support for Somali Refugees in Ethiopia;Directorate-General for Development and Cooperation — EuropeAid;B Envelope - Non-programmable aid - Echo (02.10.21.20);European Development Fund (10th EDF);Grant
AID.CTR.270635.01.1;2011;PROGETTOMONDO MOVIMENTO LAICI AMERICA LATINA (PROGETTOMONDO MLAL) ASSOCIAZIONE*;yes;;VIALE PALLADIO 16;VERONA;37138;Italy;;ACP Countries;Operational;75 %;1.235.518,00 €;ProgettoMondo Mlal :  - Déployer de  nouvelles opportunités de développement socio-économique par l''accès aux énergies durables dans le Plateau Central.;Directorate-General for Development and Cooperation — EuropeAid;Various intra ACP, other programmed sectors (04.20.65);European Development Fund (10th EDF);Grant
AID.CTR.245232.01.1;2011;UNITED NATIONS CHILDREN'S FUND*UNICEF LE FONDS DES NATIONS UNIES POURL'ENFANCE;yes;;UNITED NATIONS PLAZA 3;NEW YORK;10017;United States;;Togo;Operational;64 %;1.232.523,60 €;Amélioration de l''accès à l''eau potable, à l''hygiène et à l''assainissement des enfants et de leurs familles dans 80 communautés rurales pauvres à travers l''approche de Développement Communautaire Centré sur les ménages (préfectures de Vo et des Lacs);Directorate-General for Development and Cooperation — EuropeAid;Various intra ACP, other programmed sectors (04.20.65);European Development Fund (10th EDF);Grant
AID.CTR.264343.01.1;2011;FONDATION ENERGIES POUR LE MONDE*;yes;;RUE DE L UNIVERSITE 146;PARIS 7;75007;France;;Reserve / Not allocated by region;Operational;75 %;1.226.277,00 €;MICRO-CRÉDIT SOLAIRE ET CHANGEMENT D''ÉCHELLE AU BURKINA FASO (MICRESOL);Directorate-General for Development and Cooperation — EuropeAid;Various intra ACP, other programmed sectors (04.20.65);European Development Fund (10th EDF);Grant
AID.CTR.265319.01.1;2011;SELF HELP AFRICA (UK) LBG*;yes;;DICKENS COURT OFF HILLS LANE;SHREWSBURY;SY1 1QU;United Kingdom;;ACP Countries;Operational;75 %;1.199.288,00 €;Projet d’Approvisionnement en Eau Potable, de Promotion de l’Assainissement et de l’Hygiène dans les communes rurales de Sanaba, de Yalgo et de Gaongo au Burkina Faso.;Directorate-General for Development and Cooperation — EuropeAid;Various intra ACP, other programmed sectors (04.20.65);European Development Fund (10th EDF);Grant
AID.CTR.231870.01.1;2011;STICHTING HIVOS (HUMANISTISCH INSTITUUT VOOR ONTWIKKELINGS SAMENWERKING)*;yes;;RAAMWEG 16;DEN HAAG;2596 HL;Netherlands;;Kenya;Operational;75 %;1.195.330,00 €;The Improved Cook Stoves for Households and Institutions Project;Directorate-General for Development and Cooperation — EuropeAid;Various intra ACP, other programmed sectors (04.20.65);European Development Fund (10th EDF);Grant
AID.CTR.231887.01.1;2011;VITA (RTI) LBG*;yes;;BLESSINGTON STREET 73A;DUBLIN 7;;Ireland;;ACP Countries;Operational;75 %;1.157.137,50 €;Provision of efficient, affordable and sustainable energy for cooking and heat to rural households in Eritrea;Directorate-General for Development and Cooperation — EuropeAid;Various intra ACP, other programmed sectors (04.20.65);European Development Fund (10th EDF);Grant
AID.CTR.269829.01.1;2011;DANISH MANAGEMENT AS*;yes;DK12759274;VESTRE KONJEVEJ 6;VIBY J;8260;Denmark;;Intra ACP Allocations;Operational;N.A.;1.131.000,00 €;TECHNICAL ASSISTANCE FOR THE MONITORING OF THE ENERGY FACILITY''S PROJECTS FINANCED UNDER THE 10TH EDF ;Directorate-General for Development and Cooperation — EuropeAid;Various intra ACP, other programmed sectors (04.20.65);European Development Fund (10th EDF);Public procurement and other expenditure
AID.CTR.232616.01.1;2011;GROUPE DE RECHERCHE ET D'ECHANGES TECHNOLOGIQUES*GRET;yes;FR04309123057;AVENUE DE LA BELLE GABRIELLE 45BIS;NOGENT SUR MARNE;94130;France;;Mauritania;Operational;75 %;1.125.000,00 €;Promotion du charbon de typha en alternative au charbon de bois (TYPHA);Directorate-General for Development and Cooperation — EuropeAid;Various intra ACP, other programmed sectors (04.20.65);European Development Fund (10th EDF);Grant
AID.CTR.281765.01.1;2011;DATA FIGURE & COMPANY*DF&CO;yes;UG13654G;RASHID KHAMIS ROAD PLOT 6;KAMPALA;;Uganda;;Nigeria;Operational;N.A.;1.116.974,00 €;Certification and Certification of Expenditures and Systems Audits for EDF-funded Projects;Directorate-General for Development and Cooperation — EuropeAid;A Envelope - programmable aid (02.10.10.01);European Development Fund (10th EDF);Public procurement and other expenditure
AID.CTR.276775.01.1;2011;HEALTH LIMITED*HEALTH POVERTY ACTION;yes;;BONDWAY 31-33 GROUND FLOOR;LONDON;SW8 1SJ;United Kingdom;;ACP Countries;Operational;75 %;1.097.951,53 €;SAving Lives Through WAter, Sanitation and Hygiene (SALTWASH);Directorate-General for Development and Cooperation — EuropeAid;Various intra ACP, other programmed sectors (04.20.65);European Development Fund (10th EDF);Grant
AID.CTR.261902.01.1;2011;SOCIETE D'INFRASTRUCTURES COLLECTIVES SOCIETE COOPERATIVE*SINCO;yes;BF00030503J;PARCELLE 03 LOT 17 SECTION LM;OUAGADOUGOU;;Burkina Faso;;Reserve / Not allocated by region;Operational;72.6 %;1.079.715,17 €;Electrification intégrale de dix villages du Yatenga (Burkina Faso) axée sur la promotion d’une écozone;Directorate-General for Development and Cooperation — EuropeAid;Various intra ACP, other programmed sectors (04.20.65);European Development Fund (10th EDF);Grant
AID.CTR.264697.02.1;2011;MERCY CORPS SCOTLAND LBG*;yes;;SCIENNES 40;EDINBURGH;EH9 1NJ;United Kingdom;;ACP Countries;Operational;75 %;1.078.255,00 €;Energy for All (E4A) - Alternative Energy Solutions for Rural and Peri-urban Timor-Leste;Directorate-General for Development and Cooperation — EuropeAid;Various intra ACP, other programmed sectors (04.20.65);European Development Fund (10th EDF);Grant
AID.CTR.279783.01.1;2011;FONDATION MALGACHE EN ENVIRONNEMENT TANY MEVA*;yes;MG4000051682;LOT I A I 1 BIS AMBATOBE;ANTANANARIVO;103;Madagascar;;Intra ACP Allocations;Operational;74.99 %;1.031.000,00 €;Pico-hydro électricité au service du développement rural (PHEDER);Directorate-General for Development and Cooperation — EuropeAid;Various intra ACP, other programmed sectors (04.20.65);European Development Fund (10th EDF);Grant
AID.CTR.271863.01.1;2011;INTERNATIONAL PEACEBUILDING ALLIANCE (INTERPEACE) ASSOCIATION*;yes;;CHEMIN DE BALEXERT 7-9;CHATELAINE GENEVE;1219;Switzerland;;Somalia;Operational;31.81 %;1.000.000,00 €;"Democartisation III - Strengthening Electoral Institutions & Support to the Somaliland Local Elections, Puntland Constitutional Process and Puntland Local Elections
";Directorate-General for Development and Cooperation — EuropeAid;A Envelope - programmable aid (02.10.10.01);European Development Fund (10th EDF);Grant
AID.CTR.272704.01.1;2011;STIFTELSEN FLYKTNINGERADET*NORWEGIAN REFUGEE COUNCIL-FOUNDATION;yes;NO977538319MVA;GRENSEN 17;OSLO;0159;Norway;;Ethiopia;Operational;100 %;1.000.000,00 €;ECHO/-HF/EDF/2011/01001 - Emergency temporary shelter suport and assistance to the Somali refugees in Dollo Ado camps of Ethiopia;Directorate-General for Development and Cooperation — EuropeAid;B Envelope - Non-programmable aid - Echo (02.10.21.20);European Development Fund (10th EDF);Grant
AID.CTR.276596.01.1;2011;INSTITUTO PORTUGUES DE APOIO AO DESENVOLVIMENTO*;no;;AVENIDA DA LIBERDADE 192 - 2;LISBOA;1250 147;Portugal;;Timor Leste;Operational;N.A.;1.000.000,00 €;Apoio à Governação Democrática em Timor-Leste - Componente de apoio à Comunicação Social;Directorate-General for Development and Cooperation — EuropeAid;A Envelope - programmable aid (02.10.10.01);European Development Fund (10th EDF);Public procurement and other expenditure
AID.CTR.276626.01.1;2011;UNIVERSITA DEGLI STUDI DI PADOVA*;yes;IT00742430283;VIA 8 FEBBRAIO 1848 2;PADOVA;35122;Italy;;Cameroon;Operational;71.94 %;1.000.000,00 €;Master II d’ingénieur en « sciences environnementales option gestion intégrée des ressources en eau  et assainissement des villes africaines»;Directorate-General for Development and Cooperation — EuropeAid;Various intra ACP, other programmed sectors (04.20.65);European Development Fund (10th EDF);Grant
AID.CTR.277759.01.1;2011;INTERNATIONAL RESCUE COMMITTEE UK*;yes;;GOWER STREET 11;LONDON;WC1E 6HB;United Kingdom;;Kenya;Operational;100 %;1.000.000,00 €;Nutrition Emergency response in the Turkana Northwest and West Pokot Districts of Kenya;Directorate-General for Development and Cooperation — EuropeAid;B Envelope - Non-programmable aid - Echo (02.10.21.20);European Development Fund (10th EDF);Grant
AID.CTR.279664.01.1;2011;MEDICOS SIN FRONTERAS ESPANA*;yes;ESG58277534;CALLE NOU DE LA RAMBLA 26;BARCELONA;08001;Spain;;Horn of Africa;Operational;11.94 %;1.000.000,00 €;Emergency Water Interventions and GBV Risk Mitigation for Refugee Influxes and Host Communities in Somali Region, Ethiopia;Directorate-General for Development and Cooperation — EuropeAid;B Envelope - Non-programmable aid - Echo (02.10.21.20);European Development Fund (10th EDF);Grant
AID.CTR.245462.01.1;2011;CROIX ROUGE FRANCAISE ASSOCIATION*;yes;FR20775672272;RUE DIDOT 98;PARIS 14;75694;France;;Guyana;Operational;75 %;998.729,70 €;Improved water, sanitation & hygiene conditions for Hinterland Communities ;Directorate-General for Development and Cooperation — EuropeAid;Various intra ACP, other programmed sectors (04.20.65);European Development Fund (10th EDF);Grant
AID.CTR.245217.01.1;2011;ASSOCIAZIONE COMUNITA IMPEGNO SERVIZIO VOLONTARIATO*;yes;;CORSO CHIERI 121/6;TORINO;10132;Italy;;Niger;Operational;75 %;994.393,00 €;Accès à l’eau potable et amélioration de l’hygiène dans le département de Tanout, Niger;Directorate-General for Development and Cooperation — EuropeAid;Various intra ACP, other programmed sectors (04.20.65);European Development Fund (10th EDF);Grant
AID.CTR.278083.01.1;2011;INDAQUA INDUSTRIA E GESTAO DE AGUASSA*;yes;PT503246751;RUA ANTERO QUENTAL 221 3 SALAS;PERAFITA MATOSINHOS;4455 586;Portugal;;ACP Countries;Operational;68.22 %;987.474,88 €;Formação de operadores para os sistemas de abastecimento de água do meio rural;Directorate-General for Development and Cooperation — EuropeAid;Various intra ACP, other programmed sectors (04.20.65);European Development Fund (10th EDF);Grant
AID.CTR.256486.01.1;2011;VITENS EVIDES INTERNATIONAL BV*VEI;yes;NL814387330B01;REACTORWEG 47;UTRECHT;3542 AD;Netherlands;;Kenya;Operational;73.3 %;983.359,00 €;Partnerships for Capacity Building in Sustainable Development and Maintenance of Water Infrastructure in Kisumu and Nakuru, Kenya;Directorate-General for Development and Cooperation — EuropeAid;Various intra ACP, other programmed sectors (04.20.65);European Development Fund (10th EDF);Grant
AID.CTR.278990.01.1;2011;DUNEA NV*;yes;NL009288193B01;STATIONSPLEIN 4;VOORBURG;2275 AZ;Netherlands;;Tanzania;Operational;70 %;963.926,00 €;Mwanza Urban Water & Sewerage Authority: Partnership for Financial and Operational Performance Improvement Programme;Directorate-General for Development and Cooperation — EuropeAid;Various intra ACP, other programmed sectors (04.20.65);European Development Fund (10th EDF);Grant
AID.CTR.232479.01.1;2011;GLOBAL NATURE FUND GNF*;yes;;FRITS REICHLE RING 4;RADOLFZELL;78315;Germany;;Kenya;Operational;65 %;959.883,46 €;Solar energy for rural Kenya;Directorate-General for Development and Cooperation — EuropeAid;Various intra ACP, other programmed sectors (04.20.65);European Development Fund (10th EDF);Grant
AID.CTR.245212.01.1;2011;DANSK RODE KORS*DANISH RED CROSS DRC;yes;DK20700211;BLEGDAMSVEJ 27;KOBENHAVN O;2100;Denmark;;Togo;Operational;75 %;953.424,76 €;"Projet de réduction des maladies hydriques dans la Région
des Plateaux au Togo";Directorate-General for Development and Cooperation — EuropeAid;Various intra ACP, other programmed sectors (04.20.65);European Development Fund (10th EDF);Grant
AID.CTR.275289.01.1;2011;TROSSAMFUNDET SVENSKA KYRKAN REGISTRERADE TROSSAMFUND*CHURCH OF SWEDEN COS;yes;SE252002613501;SYSSLOMANSGATAN 4;UPPSALA;75170;Sweden;;Uganda;Operational;75 %;953.390,00 €;Increase access to effecient stoves among rural households in Nothern Uganda;Directorate-General for Development and Cooperation — EuropeAid;Various intra ACP, other programmed sectors (04.20.65);European Development Fund (10th EDF);Grant
AID.CTR.280047.01.1;2011;INTERNATIONAL RESCUE COMMITTEE UK*;yes;;GOWER STREET 11;LONDON;WC1E 6HB;United Kingdom;;Ivory Coast;Operational;75 %;940.899,52 €;Contribution à l''amélioration de l''accès à l''eau potable, à l''assainissement et à l''hygiène des populations rurales des départements de Tiébissou, Didiévi et Vavoua dans le Centre et le Centre-Ouest de la Côte d''Ivoire;Directorate-General for Development and Cooperation — EuropeAid;Various intra ACP, other programmed sectors (04.20.65);European Development Fund (10th EDF);Grant
AID.CTR.268748.01.1;2011;ACTION CONTRE LA FAIM*ACF;yes;;RUE NIEPCE 4;PARIS;75014;France;;Burkina Faso;Operational;76 %;940.000,00 €;Programme LRRD d''appui au relèvement des populations sinistrées par les inondations de 2010 et d''adaptation aux crises climatiques dans la province de la Gnagna, région de l''est, Burkina Faso;Directorate-General for Development and Cooperation — EuropeAid;B Envelope - Non-programmable aid - Devco (02.10.21.10);European Development Fund (10th EDF);Grant
AID.CTR.277685.01.1;2011;INTERNATIONAL RESCUE COMMITTEE UK*;yes;;GOWER STREET 11;LONDON;WC1E 6HB;United Kingdom;;Horn of Africa;Operational;80.85 %;935.500,00 €;To provide appropriate and adequate multi-sector humanitarian assistance in Ethiopia;Directorate-General for Development and Cooperation — EuropeAid;B Envelope - Non-programmable aid - Echo (02.10.21.20);European Development Fund (10th EDF);Grant
AID.CTR.265078.01.1;2011;AGENCE DE REGULATION DU SECTEUR DEL'ELECTRICITE*ARSEL;yes;;QUARTIER BASTOS;YAOUNDE;;Cameroon;;Cameroon;Operational;74.86 %;913.783,00 €;Initiative de promotion des investissements privés dans le sous-secteur de l''électrification rurale camerounais-Investelec;Directorate-General for Development and Cooperation — EuropeAid;Various intra ACP, other programmed sectors (04.20.65);European Development Fund (10th EDF);Grant
AID.CTR.260717.01.1;2011;ASSOCIATION OF EUROPEAN PARLIAMENTARIANS FOR AFRICA*AWEPA;yes;;PRINS HENDRIKKADE 48;AMSTERDAM;1012 AC;Netherlands;;Somalia;Operational;78.92 %;900.000,00 €;Continuation of Support to the Legislative Sector in Somalia;Directorate-General for Development and Cooperation — EuropeAid;A Envelope - programmable aid (02.10.10.01);European Development Fund (10th EDF);Grant
AID.CTR.265603.01.1;2011;TERRE SOLIDALI ONLUS ASSOCIAZIONE*;yes;;PIAZZA TRE MARTIRI 6;NEBBIUNO;28010;Italy;;Somalia;Operational;88.24 %;900.000,00 €;Technical Assistance Enhancing Good Water Governance Practices and Providing an Enabling Environment for Investment and Public-Private-Partnership to the Hargeisa and Burao Water Agencies and to the Ministry of Mining, Energy and Water Resources;Directorate-General for Development and Cooperation — EuropeAid;A Envelope - programmable aid (02.10.10.01);European Development Fund (10th EDF);Grant
AID.CTR.256444.01.1;2011;VITENS EVIDES INTERNATIONAL BV*VEI;yes;NL814387330B01;REACTORWEG 47;UTRECHT;3542 AD;Netherlands;;ACP Countries;Operational;73.3 %;892.767,00 €;Partnership for Performance enhancement of Water and Sanitation Utilities in Kenya through Benchmarking and Collective Learning;Directorate-General for Development and Cooperation — EuropeAid;Various intra ACP, other programmed sectors (04.20.65);European Development Fund (10th EDF);Grant
AID.CTR.276329.01.1;2011;INDAQUA INDUSTRIA E GESTAO DE AGUASSA*;yes;PT503246751;RUA ANTERO QUENTAL 221 3 SALAS;PERAFITA MATOSINHOS;4455 586;Portugal;;All Countries;Operational;74.83 %;891.909,55 €;Programa operacional de redução de perdas de água em sistemas de abastecimento público;Directorate-General for Development and Cooperation — EuropeAid;Various intra ACP, other programmed sectors (04.20.65);European Development Fund (10th EDF);Grant
AID.CTR.270964.01.1;2011;GOPA-GESELLSCHAFT FUR ORGANISATIONPLANUNG UND AUSBILDUNG MBH*LIMITEDLIABILITY OF ORGANISATION, PLANNINGAND TRAINING GOPA CONSULTANTS;yes;DE126563585;HINDENBURGRING 18;BAD HOMBURG;61348;Germany;;Trinidad and Tobago;Operational;N.A.;867.040,00 €;Technical Assistance to establishing monitoring and evaluation frameworks to support enabling competitve business in Trinidad and Tobago;Directorate-General for Development and Cooperation — EuropeAid;A Envelope - programmable aid (02.10.10.01);European Development Fund (10th EDF);Public procurement and other expenditure
AID.CTR.264691.01.1;2011;TERRE SOLIDALI ONLUS ASSOCIAZIONE*;yes;;PIAZZA TRE MARTIRI 6;NEBBIUNO;28010;Italy;;ACP Countries;Operational;75 %;854.779,50 €;Energies durables dans  les régions d''Agadez et de Tillabéri;Directorate-General for Development and Cooperation — EuropeAid;Various intra ACP, other programmed sectors (04.20.65);European Development Fund (10th EDF);Grant
AID.CTR.245186.01.1;2011;CENTRE REGIONAL POUR L'EAU POTABLEET L'ASSAINISSEMENT A FAIBLE COUT CREPA*;yes;;RUE NAABA KIIBA BOULSA 441;OUAGADOUGOU 03;3;Burkina Faso;;Niger;Operational;75 %;850.077,00 €;Amélioration de l’accès à l’eau potable et aux infrastructures d’assainissement de base dans le département de Kantché au Niger. (Projet OMD Kantché);Directorate-General for Development and Cooperation — EuropeAid;Various intra ACP, other programmed sectors (04.20.65);European Development Fund (10th EDF);Grant
